Source,Target,Label,inter
1081,173,1,pp
85,754,1,pp
85,933,-1,np
85,617,1,pp
352,1013,-1,np
352,653,-1,np
352,706,1,pp
211,404,-1,np
211,20,1,pp
211,38,-1,np
1251,753,-1,np
2,160,1,pp
602,1112,-1,np
602,1111,-1,np
209,1096,1,pp
799,67,-1,np
317,323,-1,np
641,1283,-1,np
641,39,1,pp
631,718,-1,np
104,1215,-1,np
441,1070,1,pp
441,532,1,pp
697,220,1,pp
697,585,1,pp
697,1069,1,pp
1168,1054,1,pp
1168,1144,-1,np
187,243,1,pp
979,973,1,pp
979,366,1,pp
979,255,-1,np
675,183,1,pp
675,500,1,pp
894,1209,1,pp
137,629,1,pp
79,411,1,pp
79,6,-1,np
79,930,1,pp
79,337,1,pp
79,1082,1,pp
330,233,1,pp
311,193,-1,np
311,1163,-1,np
311,16,-1,np
1146,1112,-1,np
1146,1282,-1,np
1146,276,1,pp
1146,1245,-1,np
947,794,1,pp
947,181,1,pp
254,430,-1,np
254,381,1,pp
51,995,1,pp
51,180,-1,np
903,1073,-1,np
903,279,1,pp
903,1125,-1,np
857,268,1,pp
857,479,-1,np
172,503,-1,np
172,869,-1,np
297,649,1,pp
346,493,1,pp
346,102,-1,np
346,1114,1,pp
346,618,1,pp
1057,488,-1,np
278,1201,-1,np
149,1166,1,pp
264,660,-1,np
264,1007,1,pp
686,783,1,pp
206,383,-1,np
206,757,1,pp
948,577,-1,np
948,847,-1,np
948,737,-1,np
889,1119,-1,np
889,426,1,pp
889,785,1,pp
889,388,-1,np
184,619,-1,np
184,633,1,pp
401,219,1,pp
1028,803,1,pp
1028,509,-1,np
1028,656,-1,np
1062,259,1,pp
1261,809,1,pp
823,1256,-1,np
823,993,-1,np
1013,653,1,pp
1013,706,-1,np
1188,1036,1,pp
1188,443,1,pp
1188,601,1,pp
657,448,-1,np
657,766,-1,np
657,781,-1,np
657,622,-1,np
299,627,1,pp
299,1199,1,pp
299,1018,-1,np
1180,1139,1,pp
929,449,-1,np
929,862,1,pp
526,640,1,pp
526,1095,-1,np
526,513,-1,np
526,1189,-1,np
27,140,1,pp
27,1114,1,pp
27,1210,-1,np
154,974,-1,np
154,773,-1,np
957,1195,1,pp
192,483,1,pp
168,679,1,pp
71,220,-1,np
1216,144,1,pp
1216,926,1,pp
1216,372,1,pp
1216,763,-1,np
814,262,1,pp
814,219,-1,np
383,1148,-1,np
76,559,1,pp
76,623,1,pp
76,390,1,pp
542,961,-1,np
542,877,1,pp
542,988,1,pp
918,462,1,pp
918,533,1,pp
918,386,1,pp
918,253,1,pp
123,1019,1,pp
123,46,-1,np
449,922,-1,np
449,464,-1,np
449,862,-1,np
1090,310,-1,np
1090,938,-1,np
1090,157,1,pp
1090,155,1,pp
1008,242,-1,np
1153,1245,1,pp
1153,563,1,pp
1153,1210,-1,np
867,242,-1,np
867,586,-1,np
867,935,-1,np
867,762,-1,np
612,340,-1,np
1134,480,1,pp
1134,1132,1,pp
1134,765,1,pp
282,1236,1,pp
282,845,-1,np
282,109,-1,np
503,151,1,pp
503,869,1,pp
42,911,1,pp
42,1252,-1,np
42,86,1,pp
42,955,-1,np
580,1052,-1,np
547,1091,1,pp
547,6,-1,np
1052,661,1,pp
1052,465,1,pp
1052,951,1,pp
391,62,1,pp
391,273,-1,np
391,876,1,pp
353,459,-1,np
353,721,1,pp
364,1035,-1,np
364,384,-1,np
364,1140,-1,np
364,82,-1,np
364,528,1,pp
764,653,1,pp
764,714,-1,np
764,603,1,pp
645,643,1,pp
