Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu660,1,0,0,4.40E-275,0,195,0,0
Zotu1167,3,0.916666667,3,3.94E-61,0.666666667,16,0.050125471,0
Zotu1777,3,6,12,3.04E-104,0.666666667,28,0.848874688,0
Zotu1418,3,17350.83814,602392,2.39E-07,0.333333333,6,0.730152743,0
Zotu934,1,0,0,8.75E-154,0,33,-0.811107106,0
Zotu100,1,0,0,7.77E-16,0,0,-1.428849446,0
Zotu250,2,90,111,1.32E-73,0,7,-0.430082664,0
Zotu1415,1,0,0,4.40E-275,0,194,0,0
Zotu351,1,0,0,2.59E-81,0,22,-1.335646142,0
Zotu1698,1,0,0,4.40E-275,0,141,0,0
Zotu265,2,0,0,1.53E-78,1,14,-0.381385036,0
Zotu26,1,0,0,3.70E-158,0,37,-0.707106781,0
Zotu12,1,0,0,4.40E-275,0,122,0,0
Zotu2,2,239,40781,2.42E-15,0,4,-0.164894913,0
Zotu293,3,479,5783,8.04E-05,0.333333333,1,0.249513145,0
Zotu81,2,4125,351210,1.14E-13,0,0,-0.62283181,0
Zotu1360,1,0,0,2.24E-27,0,45,-1.306394529,0
Zotu5076,3,4.5,5,5.93E-109,0.333333333,31,0.774596669,0
Zotu283,2,956,10518,0.000135178,0,1,-0.40545886,0
Zotu4248,1,0,0,4.40E-275,0,148,0,0
Zotu1269,1,0,0,4.40E-275,0,135,0,0
Zotu1159,5,15848.71873,2008526,7.77E-10,0.3,11,1.02274468,0
Zotu173,1,0,0,9.12E-74,0,7,-1.532169492,0
Zotu684,1,0,0,4.40E-275,0,194,0,0
Zotu1676,3,8116.143708,841864,1.16E-11,0.333333333,5,-0.494311533,0.444444444
Zotu777,4,938.5,1048,1.02E-72,0.166666667,7,1.774090991,0
Zotu476,2,20,20,1.72E-106,0,25,-0.229415734,0
Zotu1525,2,6,6,8.03E-140,0,34,0,0
Zotu1092,2,2,2,1.02E-193,0,54,1,0
Zotu4374,3,1434,46619,3.56E-08,0,8,0.801242966,0
Zotu3934,2,1,1,2.21E-216,0,102,0,0
Zotu1329,2,0,0,2.32E-17,1,5,-0.494311533,0
Zotu16362,1,0,0,4.40E-275,0,186,0,0
Zotu17692,4,156,228,5.25E-72,0.333333333,27,1.118033989,0
Zotu621,1,0,0,1.10E-216,0,114,0,0
Zotu1586,1,0,0,4.40E-275,0,168,0,0
Zotu1284,1,0,0,4.40E-275,0,180,0,0
Zotu1555,2,2844,19458,6.54E-16,0,13,-0.3086067,0
Zotu2878,1,0,0,4.40E-275,0,162,0,0
Zotu1400,2,6,6,1.63E-175,0,41,0.707106781,0
Zotu477,3,35,47,1.65E-84,0,20,0.39223227,0
Zotu4198,4,71.95188986,1988,8.44E-11,0.833333333,11,0.418955652,0
Zotu2597,1,0,0,4.40E-275,0,135,0,0
Zotu1351,2,484,552,5.15E-74,0,7,-0.430082664,0
Zotu1893,1,0,0,5.20E-161,0,32,-1.020620726,0
Zotu564,3,5,5,2.04E-124,0.333333333,42,1.08012345,0
Zotu629,1,0,0,4.40E-275,0,133,0,0
Zotu953,1,0,0,4.48E-146,0,44,-1.870828693,0
Zotu362,2,0,0,7.52E-132,1,36,0,0
Zotu548,3,6,12,3.04E-104,0.666666667,28,0.848874688,0
Zotu830,3,2,2,4.04E-144,0.333333333,72,1.414213562,0
Zotu274,4,956,6494,1.84E-16,0.333333333,13,2.057377999,0
Zotu1640,3,42,42,1.74E-100,0.333333333,19,0.588348405,0
Zotu823,1,0,0,1.52E-171,0,51,-0.75,0
Zotu4594,2,0,0,8.04E-09,1,2,-0.832655906,0
Zotu2238,4,1.833333333,5,4.33E-79,0.5,68,1.224744871,0
Zotu1052,3,12,27,5.88E-72,0.666666667,27,0.279508497,0
Zotu1294,2,2,2,1.02E-193,0,57,1,0
Zotu481,1,0,0,4.40E-275,0,153,0,0
Zotu1375,1,0,0,6.15E-108,0,25,-1.376494403,0
Zotu1322,1,0,0,4.79E-14,0,4,-1.264194333,0
Zotu1144,1,0,0,6.19E-05,0,1,-1.060430865,0
Zotu869,4,32.5,46,6.01E-109,0,29,1.85933936,0
Zotu3593,2,8,8,1.50E-160,0,32,0.40824829,0
Zotu1846,2,6,6,1.63E-175,0,41,0.707106781,0
Zotu1153,3,15,44,7.68E-62,0.666666667,16,0.050125471,0
Zotu2281,3,479,5344,1.58E-10,0.333333333,6,0.730152743,0
Zotu4500,4,5,5,4.07E-131,0.166666667,55,1.825741858,0
Zotu1233,2,0,0,5.54E-158,1,81,0,0
Zotu2013,4,1431,21128,8.84E-09,0.333333333,2,0.543036461,0
Zotu675,4,164,164,2.55E-101,0.166666667,12,1.775695487,0
Zotu540,1,0,0,5.44E-13,0,5,-1.400549343,0
Zotu790,3,574,645,3.82E-72,0.333333333,27,-0.559016994,0.444444444
Zotu400,4,8069.82201,429176,3.35E-12,0,5,0.411926277,0.375
Zotu2535,1,0,0,4.40E-275,0,154,0,0
Zotu7497,3,7901,263870,1.13E-05,0,8,0.801242966,0
Zotu1597,3,1.333333333,3,7.40E-17,0.666666667,15,-0.081710207,0
Zotu2168,3,956,35314,8.88E-17,0.333333333,5,0.411926277,0
Zotu1079,4,6,7,6.17E-98,0.333333333,52,1.341640786,0
Zotu2407,1,0,0,2.05E-09,0,6,-1.291808699,0
Zotu2291,2,156.7362637,9400,2.21E-10,0,11,-0.788622404,0
Zotu6119,4,16830.78356,2130728,1.04E-08,0,6,0.730152743,0.375
Zotu18638,3,4872.364286,28334,4.16E-13,0,3,0.715747918,0
Zotu17775,2,3,3,2.16E-171,0,49,0.5,0
Zotu18001,5,2086.347619,19082,4.85E-16,0.5,15,1.171179628,0
Zotu334,3,13,19,1.34E-104,0,28,0.848874688,0
Zotu268,1,0,0,4.40E-275,0,172,0,0
Zotu128,2,36,40,2.37E-81,0,14,-0.381385036,0
Zotu821,1,0,0,2.08E-09,0,2,-1.52050209,0
Zotu338,4,1,2,3.89E-72,0.666666667,67,1.069044968,0
Zotu224,1,0,0,2.03E-140,0,34,-1.732050808,0
Zotu1298,1,0,0,4.40E-275,0,129,0,0
Zotu467,2,4,4,1.31E-175,0,39,0.707106781,0
Zotu645,4,2127.166667,152544,1.03E-07,0.333333333,2,0.543036461,0
Zotu13,4,1743.76829,10092,1.01E-15,0.666666667,15,0.544734711,0
Zotu972,3,125,125,2.79E-102,0,12,0.766777597,0
Zotu108,3,3928.934848,21962,2.58E-15,0.333333333,15,-0.081710207,0
Zotu60,2,4320.934848,23863,1.10E-14,0,15,-1.334600041,0.5
Zotu866,2,0,0,2.75E-13,1,10,-0.820552724,0
Zotu551,5,33305.36383,284645,6.77E-12,0.2,10,0.946791605,0.32
Zotu1007,5,1909.166667,174355,4.92E-08,0.1,2,1.230882644,0
Zotu174,1,0,0,5.22E-12,0,4,-1.264194333,0
Zotu326,2,4,4,1.31E-175,0,39,0.707106781,0
Zotu231,1,0,0,4.40E-275,0,129,0,0
