Phylum,Accum_betw,Treatment
Acidobacteria,5282.133333,Ctrl
Actinobacteria,1908.166667,Ctrl
Armatimonadetes,32.5,Ctrl
Bacteroidetes,2684.066667,Ctrl
BRC1,56,Ctrl
Chlamydiae,2,Ctrl
Chloroflexi,3125.666667,Ctrl
Cyanobacteria,232.5,Ctrl
Dependentiae,0,Ctrl
Elusimicrobia,11,Ctrl
Entotheonellaeota,0,Ctrl
FBP,2,Ctrl
Firmicutes,2598.566667,Ctrl
Gemmatimonadetes,2904.083333,Ctrl
Latescibacteria,8,Ctrl
Nitrospirae,38,Ctrl
Patescibacteria,119.5,Ctrl
Planctomycetes,2950.983333,Ctrl
Proteobacteria,6033.166667,Ctrl
Rokubacteria,184,Ctrl
Verrucomicrobia,547.6666667,Ctrl
WS2,2,Ctrl
NA,63,Ctrl
Acidobacteria,4396.4,Cd
Actinobacteria,1040.75,Cd
Armatimonadetes,17.33333333,Cd
Bacteroidetes,3363.133333,Cd
BRC1,0,Cd
Chlamydiae,2,Cd
Chloroflexi,1731.333333,Cd
Cyanobacteria,24,Cd
Dependentiae,0,Cd
Elusimicrobia,0,Cd
Entotheonellaeota,0,Cd
FBP,0,Cd
Firmicutes,1007.5,Cd
Gemmatimonadetes,1474.7,Cd
Latescibacteria,165,Cd
Nitrospirae,33,Cd
Patescibacteria,42.5,Cd
Planctomycetes,4429.966667,Cd
Proteobacteria,4748.333333,Cd
Rokubacteria,0,Cd
Verrucomicrobia,1180.05,Cd
WS2,0,Cd
NA,313,Cd
Acidobacteria,16.73077776,M
Actinobacteria,182.6029245,M
Armatimonadetes,0,M
Bacteroidetes,0,M
BRC1,0,M
Chlamydiae,0,M
Chloroflexi,36.56792654,M
Cyanobacteria,88.299355,M
Dependentiae,0,M
Elusimicrobia,0,M
Entotheonellaeota,0,M
FBP,0,M
Firmicutes,148.5561193,M
Gemmatimonadetes,0,M
Latescibacteria,0,M
Nitrospirae,0,M
Patescibacteria,0,M
Planctomycetes,12.82139753,M
Proteobacteria,634.4214994,M
Rokubacteria,0,M
Verrucomicrobia,0,M
WS2,0,M
NA,0,M
Acidobacteria,3441.996621,M+Cd
Actinobacteria,2975.332856,M+Cd
Armatimonadetes,0,M+Cd
Bacteroidetes,6579.63488,M+Cd
BRC1,0,M+Cd
Chlamydiae,0,M+Cd
Chloroflexi,1679.521229,M+Cd
Cyanobacteria,4046.262915,M+Cd
Dependentiae,0,M+Cd
Elusimicrobia,0,M+Cd
Entotheonellaeota,0,M+Cd
FBP,0,M+Cd
Firmicutes,8851.052289,M+Cd
Gemmatimonadetes,413,M+Cd
Latescibacteria,0,M+Cd
Nitrospirae,0,M+Cd
Patescibacteria,0,M+Cd
Planctomycetes,3734.725444,M+Cd
Proteobacteria,32534.37094,M+Cd
Rokubacteria,954.1755411,M+Cd
Verrucomicrobia,1940.196881,M+Cd
WS2,0,M+Cd
NA,1448.730405,M+Cd
