Source,Target,Label,inter
1,222,1,pp
1,264,1,pp
1,397,1,pp
1,537,1,pp
1,1108,1,pp
1,1193,1,pp
1,1285,1,pp
1,2022,1,pp
1,2265,1,pp
1,2372,1,pp
2,92,1,pp
2,134,1,pp
2,654,1,pp
2,1659,1,pp
2,1733,1,pp
2,2535,1,pp
2,2574,1,pp
3,1228,1,pp
3,2474,1,pp
3,2577,1,pp
4,342,1,pp
4,420,-1,np
4,2488,-1,np
4,2509,-1,np
4,2635,1,pp
4,2736,-1,np
5,543,1,pp
6,118,1,pp
6,396,1,pp
6,1276,1,pp
6,1806,1,pp
7,2443,1,pp
8,1200,1,pp
8,2692,1,pp
8,2742,1,pp
9,433,1,pp
9,479,1,pp
9,1678,1,pp
9,1883,1,pp
9,1936,1,pp
9,1968,1,pp
9,2227,1,pp
10,708,-1,np
10,2587,1,pp
11,2768,1,pp
12,84,1,pp
12,854,1,pp
12,1581,1,pp
13,434,1,pp
13,1979,1,pp
13,2064,1,pp
13,2288,-1,np
14,96,1,pp
14,970,1,pp
15,827,-1,np
16,449,-1,np
16,731,1,pp
16,1186,-1,np
16,1187,-1,np
16,1423,-1,np
17,2128,1,pp
18,641,1,pp
18,1375,1,pp
18,1909,1,pp
18,1924,1,pp
18,1963,1,pp
18,2315,1,pp
19,181,1,pp
19,546,-1,np
19,631,-1,np
19,1092,-1,np
19,1583,-1,np
19,1997,-1,np
19,2758,1,pp
20,246,-1,np
20,409,-1,np
20,1213,-1,np
20,1661,-1,np
20,1794,-1,np
20,2360,-1,np
21,519,1,pp
22,66,1,pp
22,244,1,pp
22,384,1,pp
22,527,1,pp
22,791,1,pp
22,849,1,pp
22,1180,1,pp
22,1253,1,pp
22,1277,1,pp
22,1497,1,pp
22,1671,1,pp
22,1775,-1,np
22,2123,1,pp
22,2299,1,pp
22,2430,1,pp
23,524,1,pp
23,1196,1,pp
23,1627,1,pp
23,2308,1,pp
24,300,1,pp
25,728,1,pp
25,786,1,pp
25,1184,1,pp
25,1322,1,pp
25,1947,1,pp
26,73,1,pp
26,1912,1,pp
27,525,1,pp
27,679,1,pp
27,1060,1,pp
28,330,-1,np
28,434,1,pp
28,2132,1,pp
29,1594,1,pp
30,2079,1,pp
31,240,1,pp
31,464,1,pp
31,768,1,pp
31,1128,1,pp
31,1519,1,pp
32,2762,1,pp
33,2399,1,pp
34,236,1,pp
34,303,1,pp
35,1121,1,pp
35,1379,1,pp
35,1667,1,pp
35,2501,1,pp
36,652,1,pp
36,704,1,pp
37,507,-1,np
38,41,1,pp
38,2266,1,pp
39,1732,1,pp
39,2316,1,pp
39,2562,1,pp
40,360,1,pp
40,492,1,pp
40,1172,1,pp
40,1406,1,pp
40,2134,1,pp
40,2205,1,pp
40,2500,1,pp
40,2624,1,pp
42,621,1,pp
42,1068,1,pp
42,1738,1,pp
43,684,1,pp
43,1384,1,pp
43,2240,1,pp
44,1361,1,pp
45,509,1,pp
45,1046,-1,np
45,1474,1,pp
45,2460,1,pp
45,2505,1,pp
45,2745,1,pp
46,274,1,pp
46,2278,1,pp
47,625,-1,np
47,2493,-1,np
47,2607,-1,np
48,188,-1,np
48,599,-1,np
48,1395,1,pp
48,1952,1,pp
