"Name","ID","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
"Zotu1001",492,8,0.142857143,1,1.67e-50,0.964,45,0.534522484,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"Zotu10010",1113,4,3.5,7,1.49e-128,0.5,53,1.360827635,0,"Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","bacterium enrichment culture clone auto112_4W",NA
"Zotu10011",1822,2,54,126,1.54e-65,0,9,-0.648982545,0,"Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata",NA
"Zotu10015",2274,3,47,71,1.49e-105,0,18,0.035007002,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","Sediminibacterium sp. SYL130"
"Zotu10017",554,5,0,0,1.51e-87,1,66,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharum hybrid cultivar",NA,NA
"Zotu1002",539,2,0,0,8.23e-87,1,16,-0.792118034,0,NA,NA,NA,NA,NA,NA
"Zotu10025",2170,10,21,216,1.71e-36,0.844444444,6,0.911262046,0,"Bacteroidetes","Bacteroidia","Chitinophagales",NA,NA,NA
"Zotu10028",557,3,4,4,2.31e-155,0.333,76,1.58113883,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","candidate division TM7 bacterium JGI 0001002-L20",NA,NA
"Zotu1003",2442,3,1,3,2.59e-128,0,43,0.301511345,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
"Zotu10042",2158,8,1861.666667,2737439,5.51e-30,0.535714286,4,0.835940467,0,"Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","metagenome"
"Zotu10049",1737,2,0,0,5.93e-164,1,204,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
"Zotu1009",1660,2,5,10,1.65e-126,0,41,-0.193800633,0,"Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae","metagenome",NA
"Zotu10090",1688,3,17.55714286,130,1.2e-60,0,22,-0.394982541,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
"Zotu1012",156,1,0,0,9.45e-222,0,328,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas jaspsi"
"Zotu1013",2779,3,33,309,5.26e-45,0.666666667,2,-0.415721568,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","28-YEA-48","Afipia genosp. 6"
"Zotu10142",2201,1,0,0,2.07e-157,0,174,-1.414213562,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"Zotu10158",2643,2,10.5,45,4.6e-103,0,25,-0.603022689,0,"Acidobacteria","Acidobacteriia","Acidobacteriales",NA,NA,NA
"Zotu1016",1909,1,0,0,1.16e-87,0,71,-2.383656473,0,"Rokubacteria","NC10","Rokubacteriales","uncultured soil bacterium",NA,NA
"Zotu10162",1409,6,0,0,5.08e-13,1,1,-0.396621291,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","bacterium Ellin517",NA
"Zotu10171",2088,3,2.333333333,7,2.82e-128,0,43,0.301511345,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"Zotu10176",1134,7,0,0,3.03e-23,1,7,0.206763833,0,"Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA
"Zotu1018",1901,3,8.4,19,3.12e-116,0,84,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured soil bacterium"
"Zotu1021",2034,1,0,0,8.02e-17,0,8,-1.063580453,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
"Zotu10215",1495,3,21.5,87,4.89e-119,0,96,0.19245009,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","bacterium Ellin507"
"Zotu1023",545,1,0,0,9.45e-222,0,413,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharum hybrid cultivar",NA,NA
"Zotu10245",1208,7,4.666666667,66,5.06e-37,0.952,6,0.056953878,0,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Olavius ilvae associated proteobacterium Delta 8"
"Zotu10254",1173,1,0,0,5.87e-20,0,11,-1.027105182,0,"Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA
"Zotu10264",2742,3,0,0,3.83e-130,1,138,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","44889","uncultivated soil bacterium clone S111",NA,NA
"Zotu1028",797,1,0,0,9.45e-222,0,367,0,0,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Zotu10285",798,1,0,0,9.45e-222,0,249,0,0,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Zotu10289",2472,1,0,0,6.25e-54,0,17,-1.329677118,0,"Proteobacteria","Gammaproteobacteria","R7C24","uncultured soil bacterium",NA,NA
"Zotu1029",543,1,0,0,9.45e-222,0,418,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","wastewater metagenome",NA,NA
"Zotu103",482,11,989,23033,5.85e-20,0.182,11,3.680460236,0,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus",NA
"Zotu1030",624,1,0,0,3.5e-118,0,15,-1.171700199,0,"Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
"Zotu10313",805,5,0,0,1.79e-53,1,10,-0.101934734,0,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Zotu10315",744,1,0,0,9.45e-222,0,264,0,0,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 8",NA
"Zotu10317",2434,8,0,0,3.34e-23,1,7,0.427311921,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","Arenimonas daechungensis"
"Zotu10328",1848,3,20,20,2.31e-153,0,42,1.5,0,"Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","SH-PL14","Planctomyces sp. SCGC AG-212-M04"
"Zotu1033",2025,2,0,0,5.93e-164,1,168,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
"Zotu10332",1682,3,0.166666667,1,3.02e-32,0.666666667,0,-0.242167277,0,"Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587","uncultured soil bacterium"
"Zotu10333",1893,3,44,1920,8.12e-18,0.333333333,8,-0.594653608,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"Zotu10344",29,1,0,0,2.07e-157,0,157,-1.414213562,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"Zotu10346",484,6,0,0,5.03e-58,1,23,0.674812699,0,"Firmicutes","Bacilli","Bacillales",NA,NA,NA
"Zotu1036",2582,3,0.2,1,1.48e-102,0.666666667,25,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter","uncultured Holophaga sp."
"Zotu10387",725,4,1072,28686,6.47e-19,0.167,11,0.385164443,0,"Firmicutes","Clostridia","Clostridiales","Family XI","Sedimentibacter","Sedimentibacter sp. E177"
"Zotu1039",2637,9,288.5833333,2275,2.64e-98,0.055555556,13,3.141736844,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
"Zotu104",690,7,93.25952381,1043,3.68e-67,0.0952,72,0.836484032,0,"Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA
"Zotu10418",1611,1,0,0,9.45e-222,0,277,0,0,"Acidobacteria","Subgroup 6","uncultured Holophagae bacterium",NA,NA,NA
"Zotu1042",1352,1,0,0,9.45e-222,0,288,0,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured proteobacterium"
"Zotu10439",2016,2,22,49,6.97e-103,0,25,-0.603022689,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1",NA
"Zotu10443",1178,1,0,0,3.51e-141,0,148,-1.75,0,"Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA
"Zotu1046",1266,6,0,0,5.29e-72,1,60,0.288675135,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA
"Zotu10463",781,1,0,0,7.49e-193,0,213,0,0,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Anaerobacter","uncultured bacterium"
"Zotu10464",1105,1,0,0,9.45e-222,0,401,0,0,"Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexus","uncultured delta proteobacterium"
"Zotu1048",1681,3,3,4,9.27e-141,0.333333333,149,0.75,0,"Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587","uncultured planctomycete"
"Zotu10481",836,5,5.033333333,18,4.29e-52,0.4,17,0.94976937,0,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaerospora",NA
"Zotu10485",2163,11,0.375,3,3.47e-25,0.945454545,39,0.577350269,0,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Fibrisoma","Ambiguous_taxa"
"Zotu10499",2416,4,241,51236,2.92e-33,0.166666667,0,0.259886834,0,"Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","uncultured Bacteroidetes bacterium",NA
"Zotu1052",89,1,0,0,9.45e-222,0,337,0,0,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","Azospirillum sp. T2-YC6788"
"Zotu10533",1367,9,42.1,969,9.87e-41,0.916666667,5,1.288570763,0,"BRC1","uncultured Acidobacteria bacterium",NA,NA,NA,NA
"Zotu10541",2355,3,5.5,11,5.9e-142,0,108,0.904534034,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured",NA
"Zotu1055",178,1,0,0,6.4e-49,0,2,-1.101863963,0,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured","Caulobacter sp. THG-DN8.6"
"Zotu10557",1161,9,1.974025974,16,6.69e-44,0.556,2,1.642705615,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","bacteriap25","unidentified",NA
"Zotu1056",332,1,0,0,9.45e-222,0,358,0,0,"Actinobacteria","Actinobacteria",NA,NA,NA,NA
"Zotu1057",676,2,0.166666667,1,4.66e-48,0,2,-0.758792766,0,"Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc PCC-7107","Nostoc spongiaeforme NDUPC007"
"Zotu106",1769,1,0,0,9.45e-222,0,254,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
"Zotu10619",696,3,6.333333333,11,5.32e-142,0,108,0.904534034,0,"Cyanobacteria","Sericytochromatia","Cyanobacteria/Melainabacteria group bacterium S15B-MN24 CBMW_12",NA,NA,NA
"Zotu10627",2422,2,0.4,2,1.34e-123,0,101,-0.457495711,0,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"Zotu10631",2236,3,0,0,1.53e-75,1,56,-0.583819382,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"Zotu1064",1124,2,15,16,1.9e-149,0,27,0,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Vulgatibacteraceae","Vulgatibacter",NA
"Zotu10650",1275,2,7,7,1.26e-153,0,42,0,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured Kofleriaceae bacterium"
"Zotu10661",1951,2,0,0,3.85e-157,1,189,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"Zotu10662",2299,13,0,0,0.238838755,1,34,0.577723911,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter","uncultured prokaryote"
"Zotu10663",1574,1,0,0,9.95e-120,0,96,-1.347150628,0,"Acidobacteria","Subgroup 6","uncultured bacterium 259",NA,NA,NA
"Zotu10669",276,2,0.125,1,2.34e-17,0,8,-0.829117031,0,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
"Zotu1068",1962,1,0,0,2.64e-66,0,9,-1.128665296,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"Zotu1070",373,1,0,0,9.45e-222,0,263,0,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",NA
"Zotu10712",1596,1,0,0,5.54e-154,0,42,-1.5,0,"Acidobacteria","Subgroup 6","uncultured Holophagae bacterium",NA,NA,NA
"Zotu1072",2219,5,56.33333333,105,8.09e-128,0.1,32,2.304663839,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"Zotu10720",2051,5,0.2,1,1.27e-90,0.9,67,0.40824829,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
"Zotu10731",636,8,1.942857143,14,1.47e-59,0.786,100,0.808452083,0,"Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
"Zotu10742",1128,9,39.25,277,6.44e-58,0.667,23,1.803826254,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Vulgatibacteraceae","Vulgatibacter",NA
"Zotu1077",2222,1,0,0,9.45e-222,0,398,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",NA
"Zotu10772",1102,5,28.5,592,4.16e-13,0.9,1,-0.608376726,0,"Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","uncultured","uncultured soil bacterium"
"Zotu10774",2206,3,0,0,2.36e-94,1,44,-0.287242495,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",NA
"Zotu1078",1069,2,0,0,3.56e-65,1,9,-0.648982545,0,NA,NA,NA,NA,NA,NA
"Zotu10781",1929,3,32.5,128,8.35e-101,0,24,0.043355498,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"Zotu10785",2263,3,24,495,2.51e-61,0.333333333,29,-0.553542761,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"Zotu10786",1931,1,0,0,2.65e-101,0,28,-1.112590499,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"Zotu10799",1858,4,0,0,3.72e-106,1,85,0,0,"Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","SH-PL14","uncultured Planctomycetaceae bacterium"
"Zotu1080",459,5,46,92,2.71e-111,0.2,14,1.467264885,0,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"Zotu10824",1412,7,37.67857143,832,0.015894766,0.142857143,34,-0.72778207,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera","Pedosphaera parvula Ellin514"
"Zotu10828",1103,1,0,0,2.22e-139,0,19,-0.968495997,0,"Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"Zotu10832",615,3,249.5,2023,1.38e-60,0,29,-0.553542761,0,"Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
"Zotu10842",1155,5,374.5,3143,2.02e-11,0.1,1,-0.608376726,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","KD3-10","uncultured delta proteobacterium",NA
"Zotu10845",438,1,0,0,9.45e-222,0,318,0,0,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"Zotu1085",2524,7,379.5,22845,2.63e-52,0,3,1.124494969,0,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"Zotu10851",1174,3,16,74,2.83e-39,0.667,6,-1.08212368,0,"Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA
"Zotu10855",1369,1,0,0,3.25e-67,0,9,-1.128665296,0,"BRC1","uncultured Acidobacteria bacterium",NA,NA,NA,NA
"Zotu10856",1142,3,1,3,8.43e-27,0,7,-0.67542852,0,"Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA
