"Name","ID","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
"Zotu10050",446,1,0,0,3.42e-79,0,217,0,0,"Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA
"Zotu1006",486,1,0,0,3.42e-79,0,165,0,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"Zotu1007",117,3,2,4,6.59e-29,0.666666667,53,0.707106781,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"Zotu1008",785,1,0,0,3.42e-79,0,176,0,0,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured Cytophagia bacterium"
"Zotu1011",69,2,0,0,7.19e-32,1,69,-1,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"Zotu1014",23,1,0,0,3.42e-79,0,196,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","alpha proteobacterium LS7-MT"
"Zotu10144",496,2,6,6,1.93e-49,0,32,0.707106781,0,"BRC1","uncultured Acidobacteria bacterium",NA,NA,NA,NA
"Zotu10156",174,1,0,0,3.42e-79,0,320,0,0,"Actinobacteria","Actinobacteria","Frankiales",NA,NA,NA
"Zotu1017",200,1,0,0,3.42e-79,0,240,0,0,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces",NA
"Zotu102",1049,1,0,0,1.48e-30,0,3,-1.213559752,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"Zotu1020",919,2,49,49,3.46e-41,0,4,0.215665546,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"Zotu1021",751,3,0.5,1,9.21e-32,0.666666667,68,1,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
"Zotu1022",162,2,0,0,7.19e-32,1,66,-1,0,"Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"Zotu1028",354,2,0,0,7.59e-36,1,18,0,0,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Zotu1033",745,3,17,50,0.004910658,0.666666667,0,-0.087038828,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","uncultured Burkholderiales bacterium",NA
"Zotu1035",962,1,0,0,3.42e-79,0,151,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)",NA,NA
"Zotu1037",722,2,4,4,1.55e-49,0,32,0.707106781,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter",NA
"Zotu1045",441,2,9,9,4.26e-44,0,17,0.324442842,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
