ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
1,Zotu9047,10,0,0,9.45E-30,1.00E+00,3.80E+01,0,0
2,Zotu1339,7,13.5,162,1.36E-32,7.14E-01,5.00E+01,0.08487998,0
3,Zotu2726,3,0,0,3.83E-130,1.00E+00,1.30E+02,0,0
4,Zotu4286,6,1004.973246,35027,5.14E-16,6.67E-02,8.00E+00,0.10873666,0
5,Zotu3037,1,0,0,9.45E-222,0.00E+00,4.18E+02,0,0
6,Zotu934,4,0.375,3,6.61E-42,5.00E-01,5.00E+00,-0.266600847,0
7,Zotu4187,1,0,0,9.45E-222,0,3.42E+02,0,0
8,Zotu1582,3,0,0,3.83E-130,1.00E+00,1.38E+02,0,0
9,Zotu5217,7,17,41,5.70E-67,4.76E-01,6.10E+01,0.741535779,0
10,Zotu1837,2,0,0,1.24E-41,1.00E+00,5.00E+00,-0.888669491,0
11,Zotu5369,1,0,0,2.18E-31,0.00E+00,4.00E+00,-1.150708173,0
12,Zotu4725,3,0,0,3.83E-130,1.00E+00,1.27E+02,0,0
13,Zotu3720,4,17.33333333,279,6.75E-44,8.33E-01,5.00E+00,-0.266600847,0
14,Zotu9772,2,164,650,1.71E-49,0.00E+00,2.00E+00,-0.758792766,0
15,Zotu17432,1,0,0,1.51E-149,0.00E+00,2.70E+01,-1.10194633,0
16,Zotu14546,5,241.2727273,513968,2.22E-35,0.00E+00,7.80E+01,0.179314609,0
17,Zotu20816,1,0,0,9.45E-222,0.00E+00,4.25E+02,0,0
18,Zotu4857,6,5,5,5.85E-87,6.67E-01,7.10E+01,0.953462589,0
19,Zotu442,7,93.25952381,1043,3.68E-67,9.52E-02,7.20E+01,0.836484032,0
20,Zotu22,6,154,1742,1.66E-98,0.00E+00,1.30E+01,1.490993756,0
21,Zotu3312,1,0,0,6.84E-46,0.00E+00,2.00E+00,-1.101863963,0
22,Zotu1116,15,7.4,294,0.264154552,9.14E-01,3.40E+01,1.012892572,0
23,Zotu970,4,0,0,3.64E-83,1.00E+00,7.30E+01,-1.154700538,0
24,Zotu1563,1,0,0,9.45E-222,0,3.47E+02,0,0
25,Zotu3490,5,0,0,1.51E-87,1,6.90E+01,0,0
26,Zotu1244,2,0,0,1.90E-155,1.00E+00,7.50E+01,0,0
27,Zotu583,3,0,0,3.87E-97,1.00E+00,9.70E+01,-0.707106781,0
28,Zotu1705,3,54,283,4.17E-43,3.33E-01,5.00E+00,-0.577635169,0
29,Zotu10344,1,0,0,2.07E-157,0,157,-1.414213562,0
30,Zotu694,1,0,0,7.49E-193,0.00E+00,2.05E+02,0,0
31,Zotu1210,5,27,156,3.69E-58,6.00E-01,2.30E+01,0.298474848,0
32,Zotu5579,1,0,0,9.45E-222,0.00E+00,4.44E+02,0,0
33,Zotu1275,1,0,0,1.74E-142,0.00E+00,3.70E+01,-0.88640526,0
34,Zotu3684,2,0,0,2.21E-143,1,1.71E+02,-0.5,0
35,Zotu6089,4,0.290909091,2,2.16E-45,6.67E-01,2.00E+00,-0.072650371,0
36,Zotu7294,2,0.2,1,3.76E-117,0.00E+00,1.10E+02,-0.520755644,0
37,Zotu133,1,0,0,9.45E-222,0,3.53E+02,0,0
38,Zotu8279,2,27,153,5.28E-59,0.00E+00,2.30E+01,-0.830538707,0
39,Zotu283,3,0,0,3.83E-130,1.00E+00,1.31E+02,0,0
40,Zotu4197,8,0.142857143,1,1.67E-50,9.64E-01,4.50E+01,0.534522484,0
41,Zotu3344,1,0,0,7.42E-60,0,2.30E+01,-1.206876558,0
42,Zotu3356,3,1.5,3,1.34E-134,6.67E-01,1.46E+02,0.447213595,0
