ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
1,Zotu2726,2,0,0,2.84E-44,1,88,0,0
2,Zotu1777,1,0,0,3.42E-79,0,324,0,0
3,Zotu243,1,0,0,2.10E-35,0,12,-1.154700538,0
4,Zotu351,1,0,0,3.42E-79,0,323,0,0
5,Zotu1698,1,0,0,3.42E-79,0,232,0,0
6,Zotu1494,2,13,13,1.14E-41,0,4,0.215665546,0
7,Zotu265,3,15,58,1.20E-18,0.333333333,1,0.402139493,0
8,Zotu679,2,1,1,9.85E-62,0,145,0,0
9,Zotu136,1,0,0,3.42E-79,0,289,0,0
10,Zotu26,1,0,0,3.42E-79,0,231,0,0
11,Zotu7,1,0,0,3.42E-79,0,205,0,0
12,Zotu1244,1,0,0,3.42E-79,0,207,0,0
13,Zotu62,1,0,0,3.42E-79,0,177,0,0
14,Zotu2,2,1,1,9.85E-62,0,103,0,0
15,Zotu1883,3,24,24,4.28E-31,0.333333333,6,0.734846923,0
16,Zotu133,1,0,0,8.33E-33,0,9,-1.651001651,0
17,Zotu81,2,0,0,3.06E-19,1,1,-0.517036491,0
18,Zotu283,2,0,0,3.72E-40,1,84,0,0
19,Zotu1269,1,0,0,3.42E-79,0,245,0,0
20,Zotu4454,1,0,0,3.42E-79,0,230,0,0
21,Zotu3344,3,17.66666667,34,3.99E-31,0,11,0.981980506,0
22,Zotu1159,1,0,0,2.55E-46,0,25,-0.894427191,0
23,Zotu1014,1,0,0,3.42E-79,0,196,0,0
24,Zotu16362,3,0.5,1,9.21E-32,0.666666667,69,1,0
25,Zotu13857,1,0,0,4.32E-55,0,61,-1,0
26,Zotu1284,1,0,0,3.42E-79,0,180,0,0
27,Zotu886,1,0,0,1.54E-36,0,41,-0.912870929,0
28,Zotu477,3,4,4,4.83E-39,0.333333333,28,1.58113883,0
29,Zotu1351,1,0,0,3.42E-79,0,224,0,0
30,Zotu1893,1,0,0,2.13E-44,0,17,-0.811107106,0
31,Zotu564,1,0,0,3.42E-79,0,222,0,0
32,Zotu629,1,0,0,3.42E-79,0,321,0,0
33,Zotu953,1,0,0,1.12E-20,0,1,-1.436212474,0
34,Zotu362,1,0,0,9.85E-62,0,134,0,0
35,Zotu890,1,0,0,3.42E-79,0,272,0,0
36,Zotu3134,1,0,0,1.61E-51,0,74,-0.577350269,0
37,Zotu830,3,2,4,6.59E-29,0.666666667,53,0.707106781,0
38,Zotu1640,1,0,0,3.42E-79,0,255,0,0
39,Zotu432,1,0,0,5.53E-42,0,4,-1.401826052,0
40,Zotu823,1,0,0,3.42E-79,0,229,0,0
41,Zotu137,1,0,0,9.85E-62,0,123,0,0
42,Zotu993,1,0,0,3.42E-79,0,231,0,0
43,Zotu481,1,0,0,9.85E-62,0,121,0,0
44,Zotu1144,1,0,0,2.11E-24,0,10,-1.257237114,0
45,Zotu869,2,48,48,3.28E-41,0,4,0.215665546,0
46,Zotu2792,1,0,0,9.85E-62,0,117,0,0
47,Zotu59,2,2,2,7.00E-55,0,47,1,0
48,Zotu2281,1,0,0,2.49E-48,0,34,-0.75,0
49,Zotu180,1,0,0,3.42E-79,0,254,0,0
50,Zotu358,1,0,0,3.42E-79,0,182,0,0
51,Zotu11633,2,64,92,1.59E-29,0,2,-0.173748897,0
52,Zotu105,1,0,0,3.42E-79,0,253,0,0
53,Zotu3727,2,2,2,7.00E-55,0,60,1,0
54,Zotu1523,1,0,0,9.85E-62,0,111,0,0
55,Zotu4165,2,6,6,1.93E-49,0,30,0.707106781,0
56,Zotu2052,3,3,4,2.94E-30,0.333333333,70,0.75,0
57,Zotu204,1,0,0,3.42E-79,0,194,0,0
58,Zotu328,1,0,0,3.42E-79,0,152,0,0
59,Zotu13596,2,2,2,7.00E-55,0,42,1,0
60,Zotu880,4,91.5,295,4.27E-18,0.5,1,1.321315476,0
61,Zotu315,1,0,0,2.01E-40,0,80,-1.414213562,0
62,Zotu982,3,0.5,1,9.21E-32,0.666666667,66,1,0
63,Zotu425,3,2,2,4.36E-40,0.333333333,81,1.414213562,0
64,Zotu5688,1,0,0,3.42E-79,0,319,0,0
65,Zotu7316,1,0,0,9.85E-62,0,135,0,0
66,Zotu5118,1,0,0,3.42E-79,0,303,0,0
67,Zotu1484,1,0,0,3.42E-79,0,289,0,0
68,Zotu424,1,0,0,9.85E-62,0,112,0,0
69,Zotu1011,2,0,0,7.19E-32,1,69,-1,0
70,Zotu675,1,0,0,3.42E-79,0,271,0,0
71,Zotu3210,1,0,0,1.46E-48,0,35,-0.75,0
72,Zotu790,1,0,0,3.42E-79,0,261,0,0
73,Zotu2755,1,0,0,3.42E-79,0,256,0,0
74,Zotu24,2,2,2,7.00E-55,0,51,1,0
75,Zotu2653,2,2,2,7.00E-55,0,57,1,0
76,Zotu3778,1,0,0,3.42E-79,0,244,0,0
77,Zotu2566,2,3,3,2.74E-39,0,24,0,0
78,Zotu7979,2,0,0,2.84E-44,1,91,0,0
79,Zotu568,2,0,0,2.84E-44,1,89,0,0
