Source,Target,Label,inter
432,957,1,pp
432,1018,1,pp
432,923,1,pp
432,74,1,pp
2,332,-1,np
448,257,1,pp
591,228,1,pp
591,616,1,pp
591,31,1,pp
251,505,1,pp
473,899,1,pp
473,688,-1,np
473,438,1,pp
882,920,-1,np
155,101,1,pp
155,139,1,pp
804,97,1,pp
804,774,1,pp
468,227,-1,np
468,597,-1,np
89,369,-1,np
891,392,1,pp
891,518,-1,np
850,954,-1,np
333,348,1,pp
324,669,-1,np
324,601,1,pp
324,1009,1,pp
947,275,-1,np
156,933,1,pp
499,704,1,pp
266,115,1,pp
266,829,-1,np
885,933,-1,np
48,309,-1,np
276,679,-1,np
276,12,1,pp
188,123,1,pp
188,963,1,pp
521,323,1,pp
521,477,1,pp
521,451,1,pp
728,495,-1,np
728,824,-1,np
817,670,-1,np
817,412,-1,np
817,540,1,pp
817,69,1,pp
1020,142,-1,np
1020,635,1,pp
957,923,1,pp
957,74,1,pp
485,544,1,pp
485,4,-1,np
950,617,1,pp
950,1031,1,pp
950,677,1,pp
388,612,1,pp
388,50,1,pp
388,898,1,pp
388,849,1,pp
366,69,1,pp
366,165,1,pp
65,534,-1,np
975,607,1,pp
975,869,-1,np
965,684,1,pp
598,285,1,pp
598,800,-1,np
960,1013,-1,np
349,981,1,pp
220,712,1,pp
37,247,-1,np
344,828,1,pp
344,419,-1,np
344,67,1,pp
557,239,1,pp
569,293,1,pp
569,552,-1,np
154,84,1,pp
154,430,1,pp
154,244,1,pp
154,800,-1,np
154,420,-1,np
544,634,1,pp
1033,890,1,pp
1033,835,-1,np
109,131,1,pp
670,161,1,pp
262,545,-1,np
1014,1032,-1,np
941,808,1,pp
941,405,1,pp
648,873,-1,np
648,934,-1,np
623,563,-1,np
623,708,-1,np
944,593,1,pp
232,758,-1,np
820,234,-1,np
820,16,-1,np
868,586,-1,np
112,470,1,pp
222,738,1,pp
41,625,-1,np
334,59,-1,np
256,560,-1,np
852,532,1,pp
846,398,-1,np
846,319,-1,np
301,280,-1,np
83,248,-1,np
196,395,-1,np
572,671,1,pp
434,330,-1,np
128,315,1,pp
718,201,1,pp
1018,501,1,pp
1018,74,1,pp
1018,608,1,pp
865,170,1,pp
865,428,-1,np
274,714,1,pp
130,461,1,pp
130,897,1,pp
130,33,1,pp
837,402,1,pp
973,847,1,pp
973,703,1,pp
808,464,-1,np
5,417,1,pp
268,215,1,pp
268,895,1,pp
969,288,1,pp
969,856,1,pp
602,875,1,pp
602,747,-1,np
260,168,1,pp
1028,454,-1,np
167,345,1,pp
977,937,1,pp
977,790,1,pp
964,481,1,pp
35,410,1,pp
930,548,-1,np
283,454,-1,np
283,1039,1,pp
411,98,1,pp
285,845,-1,np
158,812,-1,np
216,710,-1,np
214,441,-1,np
372,242,-1,np
202,793,-1,np
723,578,1,pp
723,791,1,pp
1024,272,1,pp
317,683,-1,np
696,797,1,pp
282,908,1,pp
282,759,1,pp
197,204,-1,np
783,743,-1,np
1016,393,-1,np
426,751,-1,np
426,270,1,pp
426,978,-1,np
923,74,1,pp
956,802,1,pp
357,102,1,pp
821,990,1,pp
821,413,1,pp
288,273,-1,np
157,807,-1,np
192,622,-1,np
361,823,-1,np
78,884,1,pp
339,328,-1,np
339,383,1,pp
339,49,1,pp
427,116,-1,np
427,367,1,pp
62,789,1,pp
62,131,-1,np
239,877,1,pp
740,310,1,pp
1010,755,1,pp
101,680,1,pp
101,139,1,pp
599,758,1,pp
911,346,1,pp
680,139,1,pp
524,318,1,pp
380,668,-1,np
19,822,1,pp
652,779,1,pp
652,460,-1,np
652,431,-1,np
926,807,1,pp
721,259,-1,np
9,99,1,pp
9,342,-1,np
9,736,-1,np
632,592,1,pp
632,734,1,pp
191,1040,-1,np
422,813,1,pp
467,22,-1,np
870,588,1,pp
870,185,1,pp
517,661,1,pp
517,150,-1,np
223,482,1,pp
784,190,1,pp
784,103,1,pp
873,934,1,pp
758,554,1,pp
888,826,1,pp
362,709,1,pp
970,714,-1,np
662,737,1,pp
337,726,-1,np
337,295,-1,np
917,698,1,pp
115,575,-1,np
940,651,-1,np
269,863,-1,np
269,636,-1,np
190,1012,1,pp
190,984,-1,np
36,645,-1,np
903,27,-1,np
903,85,1,pp
581,707,1,pp
581,541,1,pp
412,465,1,pp
382,326,1,pp
382,72,-1,np
120,507,1,pp
120,57,1,pp
123,134,1,pp
123,340,1,pp
336,533,-1,np
374,794,-1,np
374,205,-1,np
374,201,-1,np
612,50,1,pp
612,898,1,pp
612,849,1,pp
173,254,1,pp
631,604,1,pp
565,844,-1,np
1008,114,-1,np
180,936,1,pp
180,806,-1,np
180,122,-1,np
752,32,1,pp
169,144,1,pp
988,463,-1,np
789,596,-1,np
1026,277,-1,np
261,600,-1,np
261,568,-1,np
