Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu243,4,3,6,6.66E-35,0.666666667,37,0.917662935,0
Zotu100,1,0,0,5.63E-220,0,327,0,0
Zotu250,1,0,0,5.63E-220,0,180,0,0
Zotu351,3,6,8,6.33E-72,0.333333333,17,0.894427191,0
Zotu1698,1,0,0,5.63E-220,0,235,0,0
Zotu265,3,2.5,5,1.61E-70,0.666666667,8,0.904534034,0
Zotu679,1,0,0,5.63E-220,0,218,0,0
Zotu136,2,0,0,1.80E-77,1,57,-1,0
Zotu547,2,0,0,1.81E-99,1,21,0,0
Zotu26,2,0,0,2.69E-70,1,52,-0.39223227,0
Zotu12,1,0,0,1.35E-167,0,143,0,0
Zotu7,2,0,0,6.45E-115,1,65,0,0
Zotu62,1,0,0,5.63E-220,0,166,0,0
Zotu2,1,0,0,5.63E-220,0,260,0,0
Zotu1971,3,36,64,3.73E-56,0.333333333,5,0.65858556,0
Zotu81,1,0,0,5.63E-220,0,326,0,0
Zotu1360,1,0,0,1.35E-167,0,133,0,0
Zotu283,1,0,0,6.73E-110,0,12,-0.904534034,0
Zotu173,2,2,2,5.69E-147,0,42,1,0
Zotu684,1,0,0,1.35E-167,0,133,0,0
Zotu1092,1,0,0,5.63E-220,0,252,0,0
Zotu17692,2,7,9,7.59E-80,0,14,0,0
Zotu1466,2,0.5,1,2.42E-82,0,56,-0.816496581,0
Zotu2950,3,0.5,1,2.30E-77,0.666666667,55,1,0
Zotu477,2,1,1,2.69E-167,0,108,0,0
Zotu564,4,18.6,48,2.26E-55,0,20,1.421338109,0
Zotu953,2,18,40,3.10E-54,0,1,-0.3086067,0
Zotu830,3,0,0,5.57E-35,1,37,0.114707867,0
Zotu274,2,9,9,2.79E-98,0,10,0,0
Zotu823,3,5,5,1.02E-126,0,34,1.75,0
Zotu2238,4,0,0,7.40E-10,1,26,0,0
Zotu2132,2,11,17,9.22E-56,0,20,-0.426401433,0
Zotu1144,1,0,0,5.63E-220,0,309,0,0
Zotu869,2,1,1,2.69E-167,0,87,0,0
Zotu8417,1,0,0,5.63E-220,0,284,0,0
Zotu358,2,28,44,2.37E-12,0,2,-0.620173673,0
Zotu835,1,0,0,5.63E-220,0,262,0,0
Zotu2052,1,0,0,5.63E-220,0,256,0,0
Zotu15836,1,0,0,5.63E-220,0,247,0,0
Zotu1073,1,0,0,5.63E-220,0,286,0,0
Zotu204,3,15,15,3.19E-109,0,12,1.507556723,0
Zotu328,1,0,0,1.35E-167,0,125,0,0
Zotu337,2,0,0,2.69E-70,1,54,-0.39223227,0
Zotu13596,5,10,22,1.11E-11,0.6,2,1.61245155,0
Zotu315,2,8,8,1.67E-98,0,10,0,0
Zotu982,2,1,1,2.69E-167,0,96,0,0
Zotu1233,1,0,0,9.84E-123,0,19,-0.894427191,0
Zotu425,2,4.066666667,14,1.36E-55,0,20,-0.426401433,0
Zotu1722,1,0,0,5.63E-220,0,268,0,0
Zotu947,1,0,0,5.63E-220,0,181,0,0
Zotu790,2,3,3,1.18E-136,0,31,0.816496581,0
Zotu400,2,0,0,6.45E-115,1,74,0,0
Zotu3778,2,1,1,2.69E-167,0,127,0,0
Zotu7979,1,0,0,5.63E-220,0,207,0,0
Zotu16135,1,0,0,5.88E-137,0,59,-0.577350269,0
Zotu568,2,0,0,6.45E-115,1,75,0,0
Zotu648,1,0,0,3.02E-105,0,11,-0.774596669,0
Zotu1240,1,0,0,1.35E-167,0,85,0,0
Zotu1597,1,0,0,5.63E-220,0,246,0,0
Zotu1079,1,0,0,5.63E-220,0,172,0,0
Zotu2000,1,0,0,5.63E-220,0,193,0,0
Zotu1711,1,0,0,9.77E-21,0,0,-1.513493525,0
Zotu625,1,0,0,2.00E-120,0,22,-0.894427191,0
Zotu6119,2,2,2,5.69E-147,0,47,1,0
Zotu18638,1,0,0,5.63E-220,0,313,0,0
Zotu1186,1,0,0,1.35E-167,0,126,0,0
Zotu1496,1,0,0,5.63E-220,0,301,0,0
Zotu338,1,0,0,5.63E-220,0,293,0,0
Zotu244,1,0,0,3.52E-147,0,46,-1,0
Zotu1298,1,0,0,5.63E-220,0,283,0,0
Zotu467,1,0,0,4.34E-105,0,11,-0.774596669,0
Zotu951,4,9,13,4.76E-35,0.166666667,37,0.917662935,0
Zotu645,2,1,1,2.69E-167,0,140,0,0
Zotu17521,1,0,0,5.88E-137,0,61,-0.577350269,0
Zotu13,3,119,169,3.87E-53,0,1,0.87438565,0
Zotu60,1,0,0,5.88E-137,0,64,-0.577350269,0
Zotu866,2,0,0,1.54E-102,1,81,0,0
Zotu551,2,4,4,1.18E-136,0,31,0.816496581,0
Zotu1007,1,0,0,5.63E-220,0,240,0,0
Zotu174,2,9,24,5.55E-20,0,0,-0.620920421,0
Zotu231,1,0,0,5.88E-137,0,31,-1.224744871,0
Zotu850,2,4,4,1.18E-136,0,30,0.816496581,0
Zotu361,2,28,28,1.76E-44,0,3,-0.301511345,0
Zotu1718,1,0,0,5.63E-220,0,295,0,0
Zotu962,1,0,0,1.26E-109,0,25,-0.603022689,0
Zotu1395,1,0,0,5.63E-220,0,214,0,0
Zotu871,2,2,2,5.69E-147,0,41,1,0
Zotu84,1,0,0,5.63E-220,0,206,0,0
Zotu107,1,0,0,5.11E-56,0,20,-1.350271204,0
Zotu7661,1,0,0,4.21E-127,0,32,-0.75,0
Zotu17889,2,4,4,1.64E-109,0,25,0.301511345,0
