"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu10",1,0,0,5.63e-220,0,192,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
2,"Zotu100",1,0,0,5.63e-220,0,327,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
3,"Zotu1004",1,0,0,4.5e-108,0,16,-0.693375245,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","Ambiguous_taxa"
4,"Zotu1006",3,8,8,4.56e-98,0.333333333,10,1.870828693,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
5,"Zotu1007",1,0,0,5.63e-220,0,240,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
6,"Zotu1009",2,0,0,6.45e-115,1,79,0,0,"Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae","metagenome",NA
7,"Zotu10103",1,0,0,1.09e-107,0,16,-0.693375245,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Verrucomicrobia bacterium LX191",NA
8,"Zotu10144",2,1,1,2.69e-167,0,113,0,0,"BRC1","uncultured Acidobacteria bacterium",NA,NA,NA,NA
9,"Zotu1017",3,3,3,1.76e-136,0,60,1.732050808,0,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces",NA
10,"Zotu1018",2,1,1,2.69e-167,0,105,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured soil bacterium"
11,"Zotu102",1,0,0,1.35e-167,0,139,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
12,"Zotu1020",5,21.5,30,2.5e-79,0,14,2.405351177,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
13,"Zotu1021",1,0,0,5.63e-220,0,228,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
14,"Zotu1024",1,0,0,5.63e-220,0,289,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Pasteuria sp."
15,"Zotu1025",1,0,0,5.63e-220,0,244,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
16,"Zotu1026",2,0,0,6.45e-115,1,75,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
17,"Zotu1032",1,0,0,5.63e-220,0,292,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Planctomycetales bacterium Ellin7224",NA
18,"Zotu10331",1,0,0,1.35e-167,0,92,0,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured Pedosphaera sp.",NA
19,"Zotu1034",1,0,0,5.63e-220,0,300,0,0,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
20,"Zotu1037",1,0,0,5.63e-220,0,308,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter",NA
21,"Zotu1039",1,0,0,5.63e-220,0,197,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
22,"Zotu1042",1,0,0,5.63e-220,0,278,0,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured proteobacterium"
23,"Zotu1043",1,0,0,1.35e-167,0,97,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
24,"Zotu1047",1,0,0,1.35e-167,0,86,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter",NA
25,"Zotu1049",1,0,0,5.63e-220,0,244,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
26,"Zotu1050",2,0,0,6.45e-115,1,73,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Firmicutes bacterium"
27,"Zotu1051",1,0,0,1.35e-167,0,102,0,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
28,"Zotu1053",1,0,0,5.63e-220,0,150,0,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","uncultured prokaryote"
29,"Zotu1058",2,1,1,2.69e-167,0,84,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
30,"Zotu106",1,0,0,5.63e-220,0,281,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
31,"Zotu1060",3,1.5,3,7.01e-72,0.666666667,17,0.894427191,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia",NA
32,"Zotu1066",1,0,0,5.63e-220,0,231,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
33,"Zotu1067",2,117,165,9.07e-53,0,1,-0.3086067,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","bacterium Ellin517",NA
34,"Zotu1069",1,0,0,5.63e-220,0,239,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
35,"Zotu107",1,0,0,5.11e-56,0,20,-1.350271204,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
36,"Zotu1070",1,0,0,1.84e-105,0,7,-1.1,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",NA
37,"Zotu1073",1,0,0,5.63e-220,0,286,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA
38,"Zotu10733",1,0,0,5.63e-220,0,299,0,0,"Chloroflexi","Anaerolineae","SBR1031","uncultured Gemmatimonadetes bacterium",NA,NA
39,"Zotu1074",2,4,4,9.86e-131,0,23,0.707106781,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Blastocatella sp."
40,"Zotu1077",2,0,0,5.43e-79,1,6,-0.185695338,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",NA
