Source,Target,Label,inter
515,844,1,pp
515,643,1,pp
287,1006,1,pp
463,517,1,pp
620,665,-1,np
259,930,-1,np
188,724,1,pp
188,292,1,pp
503,335,-1,np
503,572,-1,np
503,978,-1,np
907,993,-1,np
907,240,-1,np
148,183,-1,np
496,1079,1,pp
921,432,-1,np
107,309,1,pp
877,731,1,pp
351,373,-1,np
351,50,-1,np
319,588,-1,np
319,659,1,pp
319,782,-1,np
138,1002,1,pp
982,952,-1,np
982,52,1,pp
531,949,1,pp
531,940,1,pp
118,537,1,pp
735,121,-1,np
598,886,1,pp
598,732,1,pp
598,550,1,pp
64,536,-1,np
6,541,1,pp
237,5,1,pp
237,120,-1,np
237,157,-1,np
158,372,-1,np
125,686,1,pp
1023,175,1,pp
765,355,1,pp
765,796,1,pp
765,81,1,pp
145,193,-1,np
323,341,1,pp
840,672,1,pp
882,442,1,pp
1058,1066,-1,np
630,621,-1,np
1027,1050,-1,np
571,582,1,pp
994,3,1,pp
994,566,1,pp
994,513,-1,np
239,512,-1,np
991,194,1,pp
150,1076,-1,np
772,857,-1,np
58,437,1,pp
1017,267,1,pp
1017,11,1,pp
526,70,-1,np
859,547,-1,np
859,71,-1,np
424,838,1,pp
297,474,1,pp
625,286,-1,np
68,1081,1,pp
68,131,1,pp
21,477,1,pp
645,914,1,pp
645,386,1,pp
200,220,-1,np
704,1068,1,pp
704,1016,-1,np
370,505,-1,np
370,196,1,pp
370,628,-1,np
368,336,-1,np
587,161,1,pp
147,937,-1,np
147,258,-1,np
1022,404,1,pp
1022,528,1,pp
1022,655,1,pp
1022,252,-1,np
576,607,-1,np
1074,276,1,pp
1074,13,-1,np
1074,813,1,pp
716,316,-1,np
716,808,-1,np
716,409,-1,np
846,397,1,pp
938,339,1,pp
806,1036,1,pp
713,741,1,pp
5,157,-1,np
903,106,-1,np
583,626,1,pp
969,1024,-1,np
519,1054,-1,np
454,169,1,pp
454,369,1,pp
504,207,-1,np
504,677,-1,np
651,122,1,pp
490,251,1,pp
490,83,1,pp
974,241,1,pp
974,799,-1,np
845,569,1,pp
845,992,1,pp
894,511,-1,np
104,135,-1,np
340,436,1,pp
817,990,1,pp
948,421,1,pp
292,46,1,pp
316,409,1,pp
156,850,-1,np
265,714,1,pp
265,366,1,pp
80,45,1,pp
80,227,1,pp
619,843,1,pp
619,306,1,pp
872,299,1,pp
872,521,1,pp
312,12,1,pp
312,176,-1,np
501,408,1,pp
501,216,1,pp
78,374,-1,np
597,1003,1,pp
597,826,-1,np
597,283,1,pp
509,953,1,pp
509,768,-1,np
509,618,-1,np
190,479,1,pp
124,413,1,pp
603,794,1,pp
465,105,-1,np
130,108,-1,np
892,544,-1,np
892,529,-1,np
892,492,1,pp
495,539,1,pp
741,137,1,pp
280,399,1,pp
280,956,-1,np
154,717,1,pp
154,1047,-1,np
358,330,1,pp
358,562,1,pp
132,1080,-1,np
132,15,1,pp
132,101,1,pp
1067,943,-1,np
1067,43,-1,np
37,87,1,pp
37,464,-1,np
864,30,1,pp
1014,553,-1,np
133,816,-1,np
133,766,-1,np
133,865,-1,np
832,1025,-1,np
832,591,-1,np
832,870,-1,np
3,566,1,pp
3,513,-1,np
585,778,-1,np
585,891,-1,np
429,709,1,pp
500,174,1,pp
1009,878,-1,np
1009,447,1,pp
629,300,-1,np
269,695,1,pp
635,238,-1,np
1018,839,-1,np
1018,235,-1,np
999,59,-1,np
24,889,1,pp
613,957,1,pp
1039,57,1,pp
31,602,-1,np
453,506,-1,np
293,871,-1,np
293,697,1,pp
830,218,1,pp
719,527,-1,np
719,804,-1,np
719,523,1,pp
47,51,1,pp
438,1065,1,pp
29,331,-1,np
569,992,1,pp
785,455,-1,np
253,1051,-1,np
253,350,-1,np
253,321,-1,np
746,461,1,pp
152,267,-1,np
396,166,1,pp
396,451,1,pp
396,609,1,pp
198,549,1,pp
759,1042,-1,np
77,833,-1,np
1062,232,1,pp
1062,301,1,pp
339,28,1,pp
276,813,1,pp
527,116,1,pp
527,523,-1,np
656,987,-1,np
289,1015,1,pp
816,766,1,pp
816,959,1,pp
1055,497,1,pp
459,1056,1,pp
953,768,-1,np
953,618,-1,np
837,607,-1,np
837,1053,1,pp
13,813,-1,np
163,204,1,pp
163,745,-1,np
695,484,1,pp
695,960,1,pp
281,548,-1,np
989,261,1,pp
989,22,1,pp
551,848,-1,np
766,959,1,pp
361,763,1,pp
568,1076,1,pp
657,552,1,pp
608,1059,1,pp
640,264,1,pp
8,841,1,pp
460,895,1,pp
55,238,-1,np
580,1081,1,pp
775,763,-1,np
673,582,1,pp
1081,946,1,pp
1081,773,-1,np
46,747,1,pp
639,818,-1,np
605,575,1,pp
524,480,1,pp
325,678,1,pp
727,967,1,pp
213,440,1,pp
1073,195,1,pp
1073,917,1,pp
1064,567,-1,np
232,440,1,pp
232,262,1,pp
408,296,-1,np
408,1010,-1,np
90,32,1,pp
90,985,1,pp
601,594,1,pp
601,251,1,pp
688,82,1,pp
556,881,1,pp
341,18,1,pp
341,954,1,pp
9,570,1,pp
852,654,-1,np
181,897,1,pp
181,514,1,pp
1025,929,1,pp
1025,870,1,pp
355,81,1,pp
896,300,-1,np
896,810,-1,np
1031,976,1,pp
127,966,1,pp
127,54,1,pp
349,30,-1,np
295,60,1,pp
1003,826,-1,np
1003,283,1,pp
189,701,1,pp
189,918,1,pp
189,272,1,pp
525,720,-1,np
800,180,1,pp
378,207,-1,np
386,485,1,pp
404,288,1,pp
404,959,-1,np
404,252,-1,np
187,977,-1,np
187,1035,-1,np
890,749,-1,np
112,820,1,pp
701,918,1,pp
701,272,1,pp
638,56,1,pp
638,329,-1,np
638,658,-1,np
638,958,-1,np
32,985,1,pp
249,642,1,pp
249,1043,1,pp
136,476,1,pp
56,658,-1,np
1068,753,-1,np
776,754,1,pp
776,1078,-1,np
439,186,1,pp
120,157,1,pp
123,1048,1,pp
256,418,1,pp
167,1042,1,pp
664,139,1,pp
968,567,1,pp
725,302,-1,np
725,219,-1,np
1071,353,1,pp
738,383,1,pp
795,76,-1,np
795,342,1,pp
596,352,1,pp
623,333,-1,np
1052,764,1,pp
783,726,1,pp
783,347,-1,np
794,219,-1,np
162,383,1,pp
1033,913,-1,np
96,513,-1,np
352,631,-1,np
126,12,-1,np
126,176,1,pp
1063,561,1,pp
1063,915,1,pp
1063,348,-1,np
270,803,1,pp
1056,838,1,pp
499,790,1,pp
499,228,1,pp
998,912,1,pp
998,726,1,pp
296,1008,1,pp
296,1002,-1,np
1008,1010,1,pp
45,227,1,pp
1045,929,1,pp
1045,26,1,pp
653,467,1,pp
912,610,-1,np
1069,143,-1,np
260,423,-1,np
755,451,1,pp
755,508,1,pp
755,522,-1,np
322,231,-1,np
784,430,-1,np
420,277,1,pp
420,1013,1,pp
1072,221,1,pp
1072,663,1,pp
858,505,-1,np
858,628,-1,np
873,729,1,pp
873,215,-1,np
873,507,-1,np
534,981,-1,np
67,942,-1,np
67,752,-1,np
67,320,-1,np
67,781,-1,np
169,53,-1,np
897,449,1,pp
374,853,1,pp
964,955,-1,np
964,41,1,pp
257,722,1,pp
400,44,-1,np
277,1013,1,pp
867,542,-1,np
867,647,1,pp
606,337,1,pp
885,17,-1,np
802,593,1,pp
849,205,1,pp
849,909,1,pp
221,540,-1,np
84,7,1,pp
84,328,1,pp
75,543,1,pp
212,300,1,pp
110,595,1,pp
110,405,-1,np
617,821,1,pp
779,834,1,pp
779,473,-1,np
779,191,1,pp
472,416,-1,np
1011,862,1,pp
1011,117,1,pp
428,996,1,pp
244,254,-1,np
288,956,-1,np
886,581,1,pp
886,245,1,pp
574,405,-1,np
681,945,1,pp
681,842,1,pp
681,847,1,pp
330,562,1,pp
166,609,1,pp
1038,393,1,pp
926,89,1,pp
451,861,1,pp
389,612,-1,np
426,680,1,pp
632,175,1,pp
905,141,1,pp
905,861,1,pp
945,39,1,pp
945,842,1,pp
945,847,1,pp
384,652,1,pp
393,586,1,pp
151,745,1,pp
94,371,-1,np
768,618,1,pp
141,861,1,pp
652,637,1,pp
304,650,-1,np
304,86,1,pp
304,379,1,pp
588,659,-1,np
805,928,-1,np
615,1001,-1,np
615,687,-1,np
691,1061,1,pp
691,1012,-1,np
691,690,-1,np
399,648,-1,np
829,171,1,pp
829,564,-1,np
250,285,-1,np
291,387,-1,np
554,164,1,pp
554,246,-1,np
508,923,-1,np
791,582,1,pp
566,229,1,pp
843,306,1,pp
683,71,-1,np
910,345,-1,np
561,812,1,pp
561,702,1,pp
908,621,-1,np
14,1007,-1,np
14,564,-1,np
680,353,1,pp
680,711,-1,np
1000,199,1,pp
1000,936,-1,np
971,353,1,pp
971,711,-1,np
822,470,1,pp
70,979,1,pp
419,403,1,pp
182,825,1,pp
592,692,1,pp
74,42,-1,np
963,740,1,pp
344,210,1,pp
344,941,1,pp
344,904,-1,np
786,412,-1,np
116,888,1,pp
116,523,-1,np
815,19,1,pp
659,23,1,pp
863,411,1,pp
97,402,1,pp
97,636,1,pp
826,36,1,pp
326,95,-1,np
961,769,-1,np
961,1047,1,pp
961,427,1,pp
520,522,1,pp
266,662,1,pp
1061,367,1,pp
1061,144,-1,np
230,327,1,pp
230,491,1,pp
528,252,-1,np
314,750,1,pp
927,135,1,pp
109,521,-1,np
109,827,-1,np
667,73,-1,np
667,771,1,pp
382,434,-1,np
382,935,1,pp
584,756,-1,np
778,891,1,pp
516,450,-1,np
516,448,1,pp
407,901,1,pp
962,532,1,pp
962,268,1,pp
614,65,1,pp
178,98,-1,np
48,290,1,pp
48,49,1,pp
300,346,-1,np
258,275,-1,np
650,379,-1,np
899,2,-1,np
1015,390,-1,np
703,418,-1,np
834,473,-1,np
834,535,-1,np
834,666,1,pp
834,140,-1,np
834,707,1,pp
622,317,1,pp
611,481,-1,np
577,328,1,pp
670,767,1,pp
670,208,1,pp
456,486,1,pp
696,838,-1,np
675,909,1,pp
823,748,1,pp
220,950,-1,np
880,202,-1,np
705,447,1,pp
446,887,1,pp
758,111,1,pp
774,612,-1,np
521,915,1,pp
521,827,1,pp
782,405,-1,np
997,1037,1,pp
997,972,-1,np
18,391,-1,np
39,842,1,pp
39,847,1,pp
842,847,1,pp
1,715,1,pp
767,208,1,pp
279,65,1,pp
674,391,1,pp
844,643,1,pp
856,245,1,pp
856,787,-1,np
856,723,-1,np
149,445,1,pp
149,360,1,pp
542,933,1,pp
644,1070,-1,np
261,22,1,pp
676,394,1,pp
857,431,1,pp
792,23,-1,np
376,668,1,pp
376,855,1,pp
99,392,-1,np
99,98,-1,np
928,944,-1,np
1075,818,1,pp
1040,655,1,pp
1040,410,1,pp
357,146,1,pp
357,1028,1,pp
302,219,1,pp
168,833,1,pp
980,102,1,pp
900,27,-1,np
955,756,-1,np
955,41,-1,np
473,535,1,pp
473,666,-1,np
473,140,1,pp
473,707,-1,np
388,749,-1,np
354,92,-1,np
63,471,1,pp
649,898,1,pp
489,809,1,pp
706,159,-1,np
119,970,1,pp
100,480,-1,np
100,117,1,pp
100,831,1,pp
560,343,1,pp
93,417,-1,np
93,216,1,pp
197,85,1,pp
197,175,1,pp
1032,689,1,pp
85,175,1,pp
661,893,1,pp
209,417,-1,np
1051,350,1,pp
1051,321,1,pp
7,17,-1,np
732,245,1,pp
732,787,-1,np
860,455,-1,np
860,533,1,pp
757,363,1,pp
757,20,-1,np
627,887,-1,np
911,274,-1,np
668,855,1,pp
925,315,1,pp
924,723,1,pp
445,377,-1,np
699,557,1,pp
134,91,-1,np
134,797,-1,np
641,983,-1,np
435,550,-1,np
736,372,1,pp
736,934,-1,np
633,959,1,pp
633,52,-1,np
462,236,-1,np
548,206,-1,np
434,935,-1,np
669,364,-1,np
777,334,1,pp
965,184,-1,np
931,27,1,pp
79,391,-1,np
1029,634,1,pp
478,468,1,pp
88,995,1,pp
469,616,-1,np
487,457,1,pp
113,660,-1,np
517,310,1,pp
796,545,-1,np
1080,284,1,pp
1080,15,-1,np
874,875,-1,np
108,532,-1,np
591,929,1,pp
793,66,-1,np
204,749,1,pp
929,870,1,pp
798,906,-1,np
798,1066,-1,np
798,410,-1,np
624,502,-1,np
920,69,1,pp
482,739,1,pp
348,812,-1,np
760,734,-1,np
760,788,1,pp
760,770,-1,np
498,693,-1,np
876,271,-1,np
876,1004,1,pp
115,888,-1,np
422,889,-1,np
457,762,1,pp
307,558,1,pp
329,958,1,pp
329,111,1,pp
172,38,1,pp
1005,708,-1,np
380,589,-1,np
535,666,-1,np
535,707,-1,np
812,972,1,pp
91,797,1,pp
682,743,-1,np
170,932,1,pp
170,103,1,pp
425,599,-1,np
666,364,-1,np
666,707,1,pp
567,364,-1,np
801,939,1,pp
195,917,1,pp
579,1026,1,pp
819,780,1,pp
140,364,1,pp
140,87,1,pp
140,464,-1,np
594,251,1,pp
185,468,1,pp
1030,893,1,pp
984,433,1,pp
916,371,1,pp
851,395,1,pp
866,128,1,pp
310,636,-1,np
72,712,-1,np
559,951,1,pp
365,203,-1,np
273,228,1,pp
