Source,Target,Label,inter
367,355,1,pp
367,230,-1,np
486,398,1,pp
486,718,1,pp
126,415,1,pp
126,578,-1,np
126,712,1,pp
648,818,-1,np
382,720,-1,np
731,280,1,pp
160,715,1,pp
285,801,-1,np
258,466,-1,np
716,406,-1,np
98,784,1,pp
98,390,-1,np
116,476,1,pp
116,650,1,pp
772,820,-1,np
772,366,-1,np
56,503,-1,np
389,540,1,pp
205,364,-1,np
205,347,-1,np
5,697,-1,np
232,577,1,pp
232,819,-1,np
822,228,-1,np
822,247,1,pp
132,104,-1,np
228,247,-1,np
597,558,1,pp
686,207,-1,np
825,22,1,pp
825,726,-1,np
825,292,1,pp
783,672,-1,np
555,458,1,pp
309,64,1,pp
49,252,1,pp
477,150,1,pp
58,483,1,pp
58,668,-1,np
58,69,1,pp
58,408,1,pp
58,401,-1,np
128,40,1,pp
128,594,1,pp
165,325,1,pp
165,11,1,pp
295,764,-1,np
181,687,-1,np
32,815,1,pp
32,670,-1,np
293,576,1,pp
293,769,-1,np
796,31,1,pp
835,734,1,pp
835,206,-1,np
835,197,-1,np
87,146,1,pp
87,646,-1,np
87,20,1,pp
549,757,-1,np
289,196,1,pp
153,106,1,pp
153,501,1,pp
222,3,1,pp
222,119,1,pp
222,240,-1,np
222,370,-1,np
222,702,-1,np
3,171,-1,np
3,685,1,pp
3,119,1,pp
3,633,-1,np
3,370,-1,np
3,267,-1,np
351,430,1,pp
710,373,-1,np
710,207,1,pp
644,523,-1,np
763,47,-1,np
374,27,1,pp
374,679,1,pp
374,581,1,pp
659,138,-1,np
700,396,-1,np
700,525,-1,np
634,442,1,pp
634,131,-1,np
634,522,-1,np
186,591,1,pp
70,484,1,pp
682,673,-1,np
482,767,-1,np
675,719,-1,np
235,380,1,pp
235,762,-1,np
68,324,-1,np
68,655,1,pp
473,564,-1,np
393,360,1,pp
156,695,-1,np
156,803,-1,np
156,298,1,pp
101,668,1,pp
101,324,-1,np
101,69,-1,np
101,655,1,pp
101,408,-1,np
101,401,1,pp
777,369,-1,np
777,449,1,pp
