Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu250,2,0,0,2.38E-11,1,0,-0.762023996,0
Zotu351,2,2,2,4.50E-115,0,28,1,0
Zotu136,3,0,0,3.16E-10,1,0,-0.099394434,0
Zotu547,1,0,0,2.78E-115,0,32,-1,0
Zotu26,1,0,0,3.06E-79,0,6,-0.97991187,0
Zotu716,1,0,0,2.68E-165,0,121,0,0
Zotu1509,1,0,0,2.68E-165,0,123,0,0
Zotu2,1,0,0,2.68E-165,0,224,0,0
Zotu1883,1,0,0,2.68E-165,0,187,0,0
Zotu694,1,0,0,2.78E-115,0,30,-1,0
Zotu1275,2,4,4,1.24E-96,0,18,0.447213595,0
Zotu133,2,48,48,1.43E-78,0,6,0.150755672,0
Zotu81,2,13,13,3.46E-79,0,6,0.150755672,0
Zotu1159,1,0,0,1.65E-90,0,13,-0.811107106,0
Zotu2636,1,0,0,2.68E-165,0,112,0,0
Zotu1676,2,1,1,3.56E-129,0,88,0,0
Zotu1014,1,0,0,2.68E-165,0,208,0,0
Zotu17692,2,0,0,2.01E-82,1,17,0,0
Zotu950,2,0,0,4.73E-93,1,44,0,0
Zotu1381,1,0,0,8.32E-85,0,64,-1.414213562,0
Zotu1762,2,0,0,4.73E-93,1,44,0,0
Zotu477,1,0,0,2.68E-165,0,222,0,0
Zotu629,1,0,0,6.86E-91,0,9,-1.143001143,0
Zotu953,3,0.5,1,3.25E-67,0.666666667,38,1,0
Zotu830,1,0,0,2.68E-165,0,189,0,0
Zotu432,1,0,0,2.68E-165,0,180,0,0
Zotu2132,1,0,0,2.68E-165,0,213,0,0
Zotu1144,1,0,0,2.68E-165,0,130,0,0
Zotu3417,1,0,0,2.68E-165,0,128,0,0
Zotu11633,5,207,1514,2.64E-19,0.2,22,1.358732441,0
Zotu1371,2,707,1855,5.60E-20,0,3,0,0
Zotu1523,2,1,1,3.56E-129,0,100,0,0
Zotu835,1,0,0,5.76E-97,0,18,-0.894427191,0
Zotu2052,1,0,0,2.68E-165,0,207,0,0
Zotu15836,1,0,0,3.56E-129,0,98,0,0
Zotu1073,2,1,1,3.56E-129,0,94,0,0
Zotu204,2,0,0,4.73E-93,1,56,0,0
Zotu35,1,0,0,5.96E-20,0,22,-1.358732441,0
Zotu880,1,0,0,2.68E-165,0,171,0,0
Zotu982,3,27,27,1.81E-90,0,9,1.651001651,0
Zotu1233,3,515,2600,8.92E-18,0.333333333,1,0.709120378,0
Zotu425,1,0,0,2.68E-165,0,150,0,0
Zotu2013,1,0,0,2.68E-165,0,143,0,0
Zotu1484,2,2907,15132,3.07E-15,0,1,-0.246650566,0
Zotu1722,5,18.91885033,260,0.281603137,0.7,15,0.822178602,0
Zotu1011,7,190.6030903,1458,0.366011024,0.19047619,15,1.943331241,0
Zotu2378,1,0,0,2.68E-165,0,179,0,0
Zotu675,2,21,21,1.51E-90,0,9,0.254000254,0
Zotu540,1,0,0,9.09E-97,0,19,-0.894427191,0
Zotu790,1,0,0,3.56E-129,0,73,0,0
Zotu2566,3,13,24,7.60E-43,0.333333333,25,0.224859507,0
Zotu568,1,0,0,2.68E-165,0,114,0,0
Zotu648,2,1,1,3.56E-129,0,71,0,0
Zotu5232,3,0.5,1,3.25E-67,0.666666667,36,1,0
Zotu1597,1,0,0,2.68E-165,0,106,0,0
Zotu119,1,0,0,2.68E-165,0,141,0,0
Zotu625,1,0,0,1.45E-30,0,4,-1.249025594,0
Zotu3499,1,0,0,4.81E-108,0,40,-0.577350269,0
Zotu6119,1,0,0,2.19E-19,0,3,-1.471960144,0
Zotu17775,2,1,1,3.56E-129,0,96,0,0
Zotu1186,2,1,2,3.32E-20,0,22,-0.67936622,0
Zotu334,1,0,0,2.77E-35,0,2,-1.397001397,0
Zotu268,1,0,0,8.32E-85,0,58,-1.414213562,0
Zotu1496,3,2813.333333,15879,1.91E-13,0,1,0.709120378,0
Zotu128,6,517,3524,2.84E-19,0.133333333,22,2.038098661,0
Zotu821,3,7,21,3.78E-34,0.666666667,5,0.046726931,0
Zotu338,2,515,1335,8.58E-22,0,3,0,0
Zotu224,1,0,0,3.56E-129,0,100,0,0
Zotu1012,2,18,21,6.63E-60,0,8,-0.229415734,0
Zotu244,3,2,2,1.80E-84,0.333333333,58,1.414213562,0
Zotu951,2,0,0,4.73E-93,1,45,0,0
Zotu1346,4,29,65,2.02E-33,0.166666667,5,0.841084764,0
Zotu2598,1,0,0,9.73E-95,0,14,-1.020620726,0
Zotu20151,2,0,0,4.73E-93,1,65,0,0
Zotu13,2,2912,15015,7.35E-16,0,1,-0.246650566,0
Zotu108,2,107,271,6.60E-19,0,1,-0.246650566,0
Zotu60,4,443.5,2976,3.94E-19,0.5,22,0.67936622,0
Zotu866,3,1067,6396,8.04E-19,0.333333333,22,-0.67936622,0.444444444
Zotu130,3,1340,7101,2.77E-18,0,1,-0.246650566,0.444444444
Zotu1007,2,416,1072,7.63E-22,0,3,0,0
Zotu174,2,0,0,4.73E-93,1,55,0,0
Zotu326,2,515,1335,3.19E-21,0,3,0,0
Zotu850,2,1,1,3.56E-129,0,83,0,0
Zotu361,4,2292,6884,1.51E-17,0.166666667,1,0.709120378,0.375
Zotu91,1,0,0,3.56E-129,0,73,0,0
Zotu7661,2,86,586,1.85E-29,0,4,-0.483493778,0
Zotu17889,3,6,12,6.29E-43,0.333333333,25,0.224859507,0
Zotu1065,5,16.5,31,1.05E-42,0.2,25,1.873829222,0
Zotu1105,2,612,1596,1.34E-20,0,3,0,0
Zotu1343,1,0,0,2.68E-165,0,135,0,0
Zotu2574,1,0,0,2.78E-115,0,29,-1,0
Zotu4113,2,2,2,4.50E-115,0,29,1,0
Zotu1682,1,0,0,2.68E-165,0,172,0,0
Zotu969,1,0,0,0.004755821,0,15,-1.420126676,0
Zotu2155,3,0,0,1.71E-28,1,4,0.282038037,0
