"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu10",1,0,0,6.25e-83,0,17,-1.58113883,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
2,"Zotu1007",2,416,1072,7.63e-22,0,3,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
3,"Zotu1011",7,190.6030903,1458,0.366011024,0.19047619,15,1.943331241,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
4,"Zotu1012",2,18,21,6.63e-60,0,8,-0.229415734,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas jaspsi"
5,"Zotu1014",1,0,0,2.68e-165,0,208,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","alpha proteobacterium LS7-MT"
6,"Zotu10144",2,0,0,3.07e-59,1,8,-0.229415734,0,"BRC1","uncultured Acidobacteria bacterium",NA,NA,NA,NA
7,"Zotu1015",1,0,0,3.56e-129,0,72,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4 lineage",NA
8,"Zotu1016",3,159.6666667,2596,2.02e-11,0.333333333,0,-0.099394434,0,"Rokubacteria","NC10","Rokubacteriales","uncultured soil bacterium",NA,NA
9,"Zotu1017",2,1,1,3.56e-129,0,99,0,0,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces",NA
10,"Zotu102",5,55.00829493,405,0.223262895,0.3,15,0.822178602,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
11,"Zotu1021",1,0,0,3.56e-129,0,100,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
12,"Zotu1022",1,0,0,2.68e-165,0,107,0,0,"Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
13,"Zotu1025",1,0,0,1.49e-19,0,1,-1.202421511,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
14,"Zotu1028",5,28.5,72,3.01e-33,0.4,5,1.635442597,0,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
15,"Zotu1029",2,6,8,1.38e-61,0,10,-0.301511345,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","wastewater metagenome",NA,NA
16,"Zotu103",1,0,0,2.68e-165,0,176,0,0,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus",NA
17,"Zotu1032",4,3.5,4,3.11e-62,0.333333333,37,1.568929081,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Planctomycetales bacterium Ellin7224",NA
18,"Zotu1034",1,0,0,8.32e-85,0,42,-1.414213562,0,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
19,"Zotu1037",1,0,0,5.58e-95,0,14,-1.020620726,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter",NA
20,"Zotu1047",3,303,1554,1.85e-17,0.666666667,1,0.709120378,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter",NA
21,"Zotu1049",1,0,0,2.68e-165,0,160,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
22,"Zotu1050",2,0,0,2.54e-67,1,38,-1,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Firmicutes bacterium"
23,"Zotu10558",1,0,0,4.81e-108,0,40,-0.577350269,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured Sphingobacteriia bacterium"
24,"Zotu1059",2,0,0,4.73e-93,1,51,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
25,"Zotu106",1,0,0,3.56e-129,0,76,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
26,"Zotu1061",1,0,0,2.68e-165,0,138,0,0,"Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella",NA
27,"Zotu1065",5,16.5,31,1.05e-42,0.2,25,1.873829222,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
28,"Zotu1066",2,0,0,4.73e-93,1,45,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
29,"Zotu1069",1,0,0,2.68e-165,0,219,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
30,"Zotu1070",2,201.5,2301,2.16e-31,0,2,-0.254000254,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",NA
31,"Zotu1071",1,0,0,2.68e-165,0,171,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","Lysobacter pocheonensis"
32,"Zotu1073",2,1,1,3.56e-129,0,94,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA
33,"Zotu1074",1,0,0,5.39e-12,0,0,-1.424653558,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Blastocatella sp."
34,"Zotu1075",3,116.25,1883,7.97e-12,0,0,-0.099394434,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured Haliscomenobacter sp."
35,"Zotu108",2,107,271,6.6e-19,0,1,-0.246650566,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
36,"Zotu1082",1,0,0,2.68e-165,0,204,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84","uncultured Acidobacteria bacterium",NA
37,"Zotu1091",1,0,0,3.56e-129,0,81,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
38,"Zotu1096",2,13,13,9.84e-79,0,6,0.150755672,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured Pedosphaera sp.",NA
39,"Zotu1103",1,0,0,4.81e-108,0,41,-0.577350269,0,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter",NA
