Source,Target,Label,inter
589,956,1,pp
3,495,1,pp
3,81,1,pp
495,308,1,pp
495,81,1,pp
176,525,1,pp
176,882,1,pp
668,570,-1,np
198,738,1,pp
528,804,-1,np
928,983,1,pp
869,364,1,pp
869,884,-1,np
869,106,-1,np
869,1036,1,pp
869,251,1,pp
869,661,1,pp
521,73,-1,np
975,1024,1,pp
975,360,-1,np
975,976,-1,np
926,964,-1,np
926,609,-1,np
206,523,1,pp
206,873,1,pp
364,216,1,pp
364,1036,1,pp
364,1110,1,pp
126,454,-1,np
146,500,-1,np
1037,847,1,pp
1037,562,1,pp
157,774,-1,np
567,644,-1,np
358,183,-1,np
72,265,1,pp
72,145,-1,np
72,621,1,pp
72,578,1,pp
967,935,-1,np
46,481,-1,np
46,587,1,pp
46,241,-1,np
10,590,-1,np
291,340,1,pp
583,289,-1,np
172,168,1,pp
915,228,-1,np
915,1057,-1,np
810,148,-1,np
884,1036,-1,np
884,251,-1,np
1113,445,-1,np
678,420,1,pp
871,68,1,pp
1049,512,1,pp
546,1122,1,pp
247,90,-1,np
247,564,1,pp
534,834,-1,np
534,337,1,pp
158,922,-1,np
158,1068,-1,np
815,108,1,pp
67,556,1,pp
1065,876,-1,np
1065,587,1,pp
904,745,-1,np
904,645,-1,np
904,565,-1,np
931,147,1,pp
931,438,1,pp
24,852,1,pp
24,1039,1,pp
540,514,1,pp
689,633,1,pp
159,937,-1,np
1051,666,1,pp
378,685,1,pp
378,446,-1,np
591,95,-1,np
631,466,1,pp
631,790,-1,np
631,361,-1,np
665,643,-1,np
665,748,-1,np
772,913,1,pp
1070,798,1,pp
1070,811,-1,np
1070,372,-1,np
1070,814,-1,np
610,416,-1,np
112,902,-1,np
112,803,-1,np
753,313,1,pp
370,411,-1,np
841,264,1,pp
1109,396,-1,np
298,902,1,pp
298,803,1,pp
751,959,1,pp
751,342,-1,np
9,17,1,pp
464,704,-1,np
119,509,-1,np
619,940,-1,np
619,355,-1,np
864,449,1,pp
723,998,1,pp
723,727,1,pp
723,825,-1,np
723,13,-1,np
471,647,1,pp
322,531,1,pp
700,268,-1,np
700,502,-1,np
62,831,-1,np
889,640,-1,np
116,860,-1,np
854,1006,1,pp
854,722,-1,np
1006,722,-1,np
688,692,-1,np
1040,997,1,pp
329,709,1,pp
268,502,1,pp
664,277,1,pp
295,508,-1,np
301,905,1,pp
301,597,-1,np
301,535,-1,np
524,1005,1,pp
524,453,-1,np
524,776,1,pp
89,958,-1,np
533,576,1,pp
533,377,-1,np
533,115,-1,np
1045,1115,-1,np
643,38,1,pp
427,212,-1,np
481,846,-1,np
481,286,-1,np
481,1125,-1,np
481,241,1,pp
1111,1116,1,pp
1111,260,-1,np
155,993,-1,np
155,604,-1,np
155,809,-1,np
945,287,1,pp
520,952,1,pp
520,912,1,pp
287,831,-1,np
163,406,1,pp
163,836,1,pp
163,544,1,pp
371,1042,-1,np
134,629,-1,np
134,252,-1,np
39,673,-1,np
39,355,-1,np
39,454,1,pp
913,435,-1,np
6,543,1,pp
282,687,-1,np
282,879,1,pp
469,353,-1,np
469,802,1,pp
272,565,1,pp
272,832,-1,np
169,187,-1,np
169,127,-1,np
96,620,1,pp
691,32,1,pp
691,549,-1,np
28,517,-1,np
660,807,1,pp
660,390,-1,np
660,249,-1,np
33,1107,1,pp
584,320,1,pp
1019,568,-1,np
757,279,1,pp
757,258,1,pp
530,620,-1,np
153,942,1,pp
153,13,-1,np
513,85,1,pp
737,442,-1,np
737,255,-1,np
737,933,-1,np
183,1029,-1,np
183,652,-1,np
1126,1116,-1,np
1126,189,-1,np
556,621,-1,np
229,474,1,pp
229,219,1,pp
224,516,1,pp
209,1099,1,pp
209,1060,1,pp
87,763,-1,np
280,557,1,pp
280,77,1,pp
559,180,1,pp
498,1096,-1,np
296,482,-1,np
323,580,-1,np
853,356,-1,np
853,309,-1,np
54,932,-1,np
54,238,-1,np
1048,349,-1,np
1048,765,1,pp
918,1075,-1,np
980,160,-1,np
980,654,-1,np
805,674,1,pp
877,419,-1,np
14,969,-1,np
451,195,1,pp
451,307,1,pp
1044,1,-1,np
194,943,-1,np
194,95,1,pp
392,819,1,pp
392,56,1,pp
392,736,1,pp
83,470,1,pp
83,438,1,pp
404,894,1,pp
474,219,1,pp
616,497,-1,np
1108,476,-1,np
537,822,1,pp
537,950,-1,np
50,1110,1,pp
686,324,1,pp
686,136,-1,np
324,494,1,pp
324,53,-1,np
998,13,-1,np
225,821,-1,np
571,1033,-1,np
754,865,1,pp
754,1012,-1,np
1116,527,-1,np
1116,189,1,pp
1116,260,-1,np
422,816,1,pp
104,488,1,pp
18,1009,1,pp
728,1123,-1,np
728,699,-1,np
588,103,1,pp
588,625,-1,np
588,237,-1,np
801,121,1,pp
706,646,-1,np
896,814,-1,np
8,845,1,pp
947,1103,-1,np
856,794,1,pp
1098,982,1,pp
965,175,1,pp
965,844,1,pp
965,433,-1,np
965,821,-1,np
727,825,-1,np
263,1079,-1,np
1058,705,-1,np
1058,473,-1,np
943,346,-1,np
1005,453,-1,np
130,1023,1,pp
130,1119,1,pp
130,569,1,pp
66,973,1,pp
125,412,1,pp
125,302,1,pp
59,184,-1,np
59,226,-1,np
142,712,1,pp
142,310,1,pp
142,996,1,pp
817,141,1,pp
656,511,-1,np
455,642,1,pp
124,608,-1,np
124,338,1,pp
703,991,1,pp
703,317,1,pp
826,376,-1,np
259,693,1,pp
822,1117,1,pp
822,950,-1,np
1043,425,1,pp
171,507,1,pp
1081,653,1,pp
1081,758,1,pp
1081,548,-1,np
1081,434,1,pp
1081,812,-1,np
859,596,1,pp
273,362,1,pp
273,101,-1,np
2,52,-1,np
2,403,-1,np
2,601,-1,np
2,110,-1,np
713,959,1,pp
300,857,-1,np
300,415,-1,np
1120,173,1,pp
823,254,1,pp
380,545,1,pp
1086,662,-1,np
1029,414,-1,np
909,944,1,pp
541,1088,-1,np
653,758,1,pp
653,548,-1,np
653,434,1,pp
653,812,-1,np
190,13,-1,np
447,233,-1,np
447,389,-1,np
902,803,1,pp
921,1094,-1,np
684,938,1,pp
405,799,-1,np
1026,239,-1,np
733,325,1,pp
1024,939,1,pp
1024,360,-1,np
413,837,1,pp
283,344,1,pp
283,973,1,pp
492,898,1,pp
492,297,1,pp
492,694,1,pp
566,768,1,pp
566,261,-1,np
939,310,1,pp
939,996,1,pp
939,360,-1,np
457,778,1,pp
827,897,1,pp
827,867,1,pp
441,780,1,pp
441,561,1,pp
1007,330,-1,np
1007,188,1,pp
1007,278,1,pp
1007,875,1,pp
494,53,-1,np
838,669,1,pp
955,372,-1,np
41,1046,-1,np
41,1000,1,pp
41,123,-1,np
1084,907,1,pp
485,461,-1,np
485,304,1,pp
99,839,1,pp
99,348,1,pp
680,663,1,pp
680,1056,-1,np
82,974,1,pp
82,961,1,pp
100,75,1,pp
288,191,1,pp
381,752,-1,np
888,617,-1,np
672,350,1,pp
136,285,1,pp
721,48,1,pp
721,551,-1,np
341,977,1,pp
635,1093,1,pp
109,885,1,pp
995,651,1,pp
995,970,1,pp
995,1002,1,pp
31,966,1,pp
895,923,-1,np
663,1056,-1,np
55,831,-1,np
851,710,1,pp
851,850,1,pp
851,77,1,pp
820,43,-1,np
490,107,-1,np
167,766,1,pp
167,462,1,pp
93,627,-1,np
1073,107,-1,np
956,925,1,pp
940,355,1,pp
88,1089,-1,np
804,802,-1,np
804,458,-1,np
608,1091,-1,np
218,740,-1,np
175,433,-1,np
1087,698,1,pp
1087,29,1,pp
985,639,-1,np
466,790,-1,np
466,361,-1,np
399,916,-1,np
445,1004,1,pp
866,388,1,pp
679,829,1,pp
605,44,-1,np
103,797,1,pp
962,12,-1,np
962,110,-1,np
1004,674,-1,np
624,101,-1,np
393,544,1,pp
393,1131,-1,np
406,836,1,pp
797,625,-1,np
797,968,1,pp
160,332,-1,np
780,698,1,pp
780,29,1,pp
150,118,1,pp
150,650,-1,np
150,374,1,pp
696,886,1,pp
732,205,-1,np
732,443,1,pp
732,127,-1,np
412,214,1,pp
872,410,-1,np
872,337,1,pp
257,744,-1,np
685,118,1,pp
685,374,1,pp
1062,222,1,pp
952,912,1,pp
532,1060,-1,np
844,433,-1,np
886,650,-1,np
724,408,1,pp
599,359,-1,np
599,992,-1,np
758,434,1,pp
758,812,-1,np
166,1085,-1,np
938,21,1,pp
938,188,1,pp
938,1028,-1,np
1010,1016,1,pp
1016,111,-1,np
345,1083,1,pp
345,367,1,pp
433,821,1,pp
726,880,1,pp
312,750,1,pp
789,26,-1,np
210,1105,-1,np
387,484,1,pp
761,659,1,pp
906,874,-1,np
906,1041,-1,np
785,496,1,pp
785,603,-1,np
80,695,1,pp
80,818,-1,np
626,529,1,pp
1047,162,1,pp
352,861,1,pp
852,748,-1,np
585,217,1,pp
585,1067,1,pp
250,887,1,pp
708,480,-1,np
563,245,-1,np
863,246,1,pp
807,949,-1,np
914,941,-1,np
1023,49,1,pp
1023,1119,1,pp
1023,569,1,pp
269,333,1,pp
269,343,-1,np
49,1119,1,pp
197,555,1,pp
855,987,-1,np
855,1078,1,pp
855,743,1,pp
905,597,-1,np
905,535,-1,np
830,1100,1,pp
178,796,-1,np
37,984,-1,np
1027,1088,1,pp
85,1071,1,pp
118,374,1,pp
118,446,-1,np
1128,286,-1,np
68,862,-1,np
526,657,-1,np
1104,529,-1,np
174,294,-1,np
51,202,-1,np
1000,1097,-1,np
1000,821,-1,np
1025,227,-1,np
1025,374,1,pp
766,462,1,pp
924,1132,1,pp
290,335,-1,np
614,120,1,pp
676,177,1,pp
735,262,-1,np
735,316,-1,np
690,1063,1,pp
593,202,1,pp
593,373,1,pp
1102,1061,-1,np
432,760,-1,np
432,346,1,pp
932,384,1,pp
459,128,-1,np
558,745,-1,np
749,946,-1,np
987,1078,-1,np
987,718,1,pp
44,707,1,pp
1053,423,1,pp
65,204,1,pp
65,783,-1,np
65,935,-1,np
651,970,1,pp
651,1002,1,pp
16,750,1,pp
600,867,1,pp
654,550,1,pp
654,332,-1,np
641,363,1,pp
641,499,1,pp
1009,710,1,pp
1009,850,1,pp
843,1054,1,pp
407,791,1,pp
550,650,-1,np
581,746,1,pp
773,266,-1,np
577,137,1,pp
633,878,1,pp
353,802,-1,np
479,483,-1,np
828,715,-1,np
828,170,1,pp
424,622,1,pp
719,385,1,pp
901,573,1,pp
339,644,-1,np
1123,366,1,pp
574,372,1,pp
97,267,1,pp
739,196,1,pp
739,347,1,pp
548,434,-1,np
1105,227,1,pp
1105,417,1,pp
402,677,-1,np
402,499,-1,np
179,7,1,pp
953,114,1,pp
1013,1017,-1,np
398,634,-1,np
365,1052,-1,np
70,1115,-1,np
646,144,1,pp
217,1067,1,pp
313,899,1,pp
313,383,1,pp
5,426,1,pp
106,216,-1,np
106,1036,-1,np
106,701,1,pp
144,401,-1,np
208,741,1,pp
436,185,-1,np
1080,22,1,pp
1080,981,-1,np
1080,181,-1,np
22,452,-1,np
22,764,-1,np
922,1068,1,pp
394,71,1,pp
394,98,1,pp
394,788,1,pp
394,553,1,pp
770,730,1,pp
970,1002,1,pp
135,1074,1,pp
52,395,1,pp
52,440,1,pp
806,1131,1,pp
48,284,1,pp
705,473,1,pp
755,143,1,pp
156,475,-1,np
220,1050,1,pp
670,1017,1,pp
670,337,1,pp
139,636,1,pp
981,152,-1,np
120,538,1,pp
27,375,1,pp
612,57,1,pp
687,879,-1,np
69,531,-1,np
790,639,1,pp
681,988,-1,np
681,431,1,pp
681,954,-1,np
681,842,1,pp
681,648,1,pp
478,418,-1,np
478,561,1,pp
710,594,1,pp
710,850,1,pp
710,910,1,pp
957,929,1,pp
704,1115,-1,np
819,56,1,pp
819,736,1,pp
837,729,1,pp
522,848,1,pp
205,443,-1,np
768,261,-1,np
988,954,1,pp
988,842,-1,np
988,648,-1,np
90,1112,-1,np
515,429,1,pp
1078,743,1,pp
496,45,1,pp
397,1021,-1,np
483,86,1,pp
439,509,-1,np
117,1127,-1,np
714,917,-1,np
714,659,-1,np
870,491,1,pp
870,493,1,pp
898,297,1,pp
216,812,-1,np
986,438,-1,np
986,133,-1,np
1022,935,-1,np
849,505,1,pp
833,213,1,pp
132,7,-1,np
328,762,1,pp
674,968,-1,np
503,878,-1,np
1130,293,-1,np
715,170,-1,np
936,444,1,pp
434,812,-1,np
472,203,1,pp
572,240,-1,np
391,236,1,pp
330,188,-1,np
330,278,-1,np
330,875,-1,np
193,682,-1,np
637,1090,-1,np
798,811,-1,np
798,372,-1,np
798,814,-1,np
618,990,1,pp
658,781,1,pp
501,477,1,pp
506,611,1,pp
105,630,1,pp
632,1060,1,pp
182,234,1,pp
442,255,1,pp
442,267,1,pp
840,738,-1,np
161,1034,1,pp
161,818,1,pp
1034,818,1,pp
594,850,1,pp
40,911,-1,np
21,824,-1,np
990,562,1,pp
188,278,1,pp
188,875,1,pp
207,227,1,pp
858,1069,1,pp
858,1014,-1,np
94,900,1,pp
993,604,1,pp
993,809,1,pp
165,379,1,pp
308,531,1,pp
1039,972,-1,np
518,941,1,pp
196,256,1,pp
196,539,1,pp
579,428,-1,np
475,971,1,pp
1032,1055,1,pp
879,927,1,pp
879,999,-1,np
1121,607,1,pp
102,554,1,pp
846,241,-1,np
1072,769,1,pp
1072,64,-1,np
450,486,1,pp
606,253,-1,np
92,963,1,pp
78,775,1,pp
299,759,1,pp
628,223,1,pp
628,199,1,pp
416,491,1,pp
416,368,-1,np
1099,351,-1,np
286,241,-1,np
1020,511,-1,np
334,470,-1,np
683,326,1,pp
84,575,1,pp
504,734,-1,np
504,868,-1,np
425,1001,1,pp
362,592,1,pp
731,318,1,pp
649,200,1,pp
227,214,-1,np
954,842,-1,np
954,648,-1,np
792,484,1,pp
949,1074,1,pp
326,1092,-1,np
326,867,1,pp
204,783,-1,np
782,384,-1,np
716,129,-1,np
458,675,1,pp
979,271,1,pp
536,881,-1,np
536,977,1,pp
243,437,-1,np
231,1059,-1,np
60,266,1,pp
60,697,1,pp
978,200,-1,np
281,47,-1,np
281,211,-1,np
850,910,1,pp
332,677,1,pp
964,609,1,pp
1119,569,1,pp
305,122,1,pp
519,212,1,pp
489,421,-1,np
489,76,1,pp
717,747,1,pp
228,542,1,pp
595,460,1,pp
1008,999,-1,np
587,377,1,pp
890,221,-1,np
11,1011,-1,np
604,809,1,pp
910,77,1,pp
910,699,1,pp
1107,824,1,pp
742,275,1,pp
25,34,-1,np
71,788,1,pp
12,892,1,pp
1069,1089,1,pp
311,400,1,pp
327,702,-1,np
278,875,1,pp
15,7,-1,np
15,36,1,pp
15,497,1,pp
463,1003,1,pp
38,293,1,pp
79,91,-1,np
20,1015,-1,np
881,977,-1,np
525,882,1,pp
310,996,1,pp
242,920,-1,np
493,162,1,pp
223,199,1,pp
23,1124,-1,np
