Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu3037,1,0,0,3.23E-109,0,139,0,0
Zotu100,2,0,0,1.76E-65,1,14,0,0
Zotu250,3,8,8,2.21E-65,0.333333333,14,1.322875656,0
Zotu1415,2,0,0,1.05E-76,1,95,0,0
Zotu351,1,0,0,9.96E-142,0,240,0,0
Zotu1494,1,0,0,3.23E-109,0,120,0,0
Zotu265,1,0,0,4.62E-64,0,15,-1.322875656,0
Zotu6235,1,0,0,9.96E-142,0,344,0,0
Zotu547,6,28,102,0.059679039,0.4,1,1.555634919,0
Zotu26,1,0,0,9.96E-142,0,331,0,0
Zotu7,3,7,16,2.67E-37,0.333333333,47,0.353553391,0
Zotu62,2,0,0,1.05E-76,1,81,0,0
Zotu1509,2,0,0,1.05E-76,1,93,0,0
Zotu2,4,51,140,0.055327475,0.166666667,1,0.282842712,0
Zotu1275,1,0,0,2.48E-64,0,16,-1.322875656,0
Zotu133,1,0,0,9.96E-142,0,342,0,0
Zotu81,2,3,3,3.37E-90,0,40,0.816496581,0
Zotu1360,1,0,0,9.96E-142,0,273,0,0
Zotu283,1,0,0,3.23E-109,0,113,0,0
Zotu1980,1,0,0,3.35E-84,0,42,-0.75,0
Zotu1159,4,9,9,7.47E-57,0.166666667,30,1.870828693,0
Zotu684,1,0,0,7.38E-65,0,24,-1.224744871,0
Zotu1092,3,42,70,9.04E-26,0.333333333,3,0.441726104,0
Zotu1014,1,0,0,9.96E-142,0,250,0,0
Zotu17692,1,0,0,9.96E-142,0,176,0,0
Zotu2950,1,0,0,9.96E-142,0,197,0,0
Zotu1400,1,0,0,9.96E-142,0,312,0,0
Zotu602,2,2,2,1.62E-96,0,66,1,0
Zotu477,1,0,0,9.96E-142,0,271,0,0
Zotu564,3,0,0,0.034360622,1,1,-0.353553391,0
Zotu953,1,0,0,9.77E-65,0,6,-1.354006401,0
Zotu362,1,0,0,9.96E-142,0,340,0,0
Zotu548,1,0,0,3.23E-109,0,141,0,0
Zotu830,1,0,0,9.96E-142,0,302,0,0
Zotu274,1,0,0,9.96E-142,0,284,0,0
Zotu1640,2,2,2,1.62E-96,0,51,1,0
Zotu2687,2,6,6,2.30E-75,0,27,0.377964473,0
Zotu137,2,0,0,1.05E-76,1,82,0,0
Zotu481,1,0,0,9.96E-142,0,247,0,0
Zotu1144,1,0,0,1.31E-57,0,30,-0.935414347,0
Zotu869,2,12,16,1.02E-26,0,3,-0.331294578,0
Zotu59,3,11,11,5.15E-78,0,23,1.837117307,0
Zotu6270,2,6,6,2.30E-75,0,26,0.377964473,0
Zotu105,2,14,14,1.33E-80,0,10,0.5,0
Zotu2710,1,0,0,9.96E-142,0,201,0,0
Zotu3727,1,0,0,9.98E-97,0,60,-1,0
Zotu1371,1,0,0,9.96E-142,0,189,0,0
Zotu835,1,0,0,9.96E-142,0,279,0,0
Zotu2052,2,0.666666667,2,5.97E-28,0,0,-0.277350098,0
Zotu3039,1,0,0,1.96E-84,0,20,-1.58113883,0
Zotu328,3,3,6,3.68E-49,0.666666667,8,0.989949494,0
Zotu35,2,20,20,1.74E-80,0,10,0.5,0
Zotu444,1,0,0,3.23E-109,0,104,0,0
Zotu880,4,5.5,11,3.38E-34,0.5,67,1.133893419,0
Zotu315,1,0,0,8.40E-77,0,11,-1.237436867,0
Zotu1233,2,0,0,1.48E-53,1,69,-1,0
