"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No.module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
1,"Zotu1",1,0,0,9.96e-142,0,275,0,0,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
2,"Zotu10",4,16.33333333,23,6.39e-38,0,9,1.436842416,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
3,"Zotu100",2,0,0,1.76e-65,1,14,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
4,"Zotu1003",1,0,0,9.96e-142,0,173,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
5,"Zotu1006",1,0,0,9.96e-142,0,276,0,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
6,"Zotu1007",1,0,0,9.96e-142,0,171,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
7,"Zotu1008",4,9,13,1.86e-45,0.166666667,58,1.477097892,0,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured Cytophagia bacterium"
8,"Zotu1010",1,0,0,9.96e-142,0,218,0,0,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA
9,"Zotu1011",1,0,0,9.96e-142,0,145,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
10,"Zotu1014",1,0,0,9.96e-142,0,250,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","alpha proteobacterium LS7-MT"
11,"Zotu1015",1,0,0,9.96e-142,0,220,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4 lineage",NA
12,"Zotu1016",2,8,10,1.13e-38,0,9,-0.359210604,0,"Rokubacteria","NC10","Rokubacteriales","uncultured soil bacterium",NA,NA
13,"Zotu102",4,14,14,1.17e-47,0.166666667,19,1.605910137,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
14,"Zotu1022",1,0,0,9.96e-142,0,283,0,0,"Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
15,"Zotu1025",3,3,6,1.93e-45,0.666666667,58,0.615457455,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
16,"Zotu10254",1,0,0,3.23e-109,0,118,0,0,"Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA
17,"Zotu1030",1,0,0,9.96e-142,0,145,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
18,"Zotu1034",1,0,0,1.14e-18,0,5,-1.098884512,0,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
19,"Zotu1035",1,0,0,9.96e-142,0,184,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)",NA,NA
20,"Zotu1037",1,0,0,9.96e-142,0,311,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter",NA
21,"Zotu1038",2,24,24,3.02e-11,0,2,-0.593390829,0,"Acidobacteria","Subgroup 6","uncultured Holophagae bacterium",NA,NA,NA
22,"Zotu1042",3,9,9,3.72e-74,0,21,1.45999279,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured proteobacterium"
23,"Zotu1043",1,0,0,9.96e-142,0,200,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
24,"Zotu105",2,14,14,1.33e-80,0,10,0.5,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA
25,"Zotu1050",1,0,0,9.96e-142,0,212,0,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Firmicutes bacterium"
26,"Zotu1051",1,0,0,9.96e-142,0,239,0,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
27,"Zotu1053",1,0,0,9.96e-142,0,193,0,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","uncultured prokaryote"
28,"Zotu1054",1,0,0,9.96e-142,0,179,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
29,"Zotu1060",2,2.5,5,5.73e-68,0,12,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia",NA
30,"Zotu1062",1,0,0,2.25e-90,0,39,-1.224744871,0,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Punica granatum (pomegranate)"
31,"Zotu1063",1,0,0,9.96e-142,0,160,0,0,"Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Desmonostoc PCC-7422",NA
32,"Zotu1065",1,0,0,3.23e-109,0,138,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
33,"Zotu107",1,0,0,5.12e-13,0,2,-1.305459824,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
34,"Zotu1071",1,0,0,9.96e-142,0,212,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","Lysobacter pocheonensis"
35,"Zotu1072",1,0,0,9.96e-142,0,173,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
36,"Zotu1075",3,3,6,1.93e-45,0.666666667,58,0.615457455,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured Haliscomenobacter sp."
37,"Zotu1076",1,0,0,9.96e-142,0,206,0,0,"Chloroflexi","KD4-96",NA,NA,NA,NA
38,"Zotu10786",2,14,14,1.33e-80,0,10,0.5,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
39,"Zotu108",3,11,11,1.06e-63,0,16,1.322875656,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
40,"Zotu1083",1,0,0,9.96e-142,0,274,0,0,"Acidobacteria","Subgroup 6","uncultured beta proteobacterium",NA,NA,NA
41,"Zotu1084",3,17,21,1.1e-35,0,4,0.518874522,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","bacterium LWQ8",NA,NA
42,"Zotu10841",1,0,0,9.96e-142,0,319,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Aridibacter",NA
43,"Zotu1088",1,0,0,9.96e-142,0,343,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
44,"Zotu1090",2,1,1,3.23e-109,0,108,0,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
45,"Zotu1091",1,0,0,2.25e-90,0,39,-1.224744871,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
46,"Zotu1092",3,42,70,9.04e-26,0.333333333,3,0.441726104,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured",NA
47,"Zotu1094",1,0,0,3.23e-109,0,122,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
48,"Zotu1096",2,2,2,1.62e-96,0,56,1,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured Pedosphaera sp.",NA
49,"Zotu1098",2,0,0,3.1e-29,1,68,-1.603567451,0,"Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured anaerobic ammonium-oxidizing bacterium",NA
50,"Zotu110",1,0,0,0.002909846,0,1,-1.626345597,0,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
51,"Zotu1102",1,0,0,9.98e-97,0,65,-1,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured Chloroflexaceae bacterium"
52,"Zotu1104",3,3,6,7.05e-38,0.333333333,9,0.538815906,0,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA
53,"Zotu1106",2,0,0,1.56e-66,1,25,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
54,"Zotu1109",2,3,3,3.37e-90,0,41,0.816496581,0,"Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Armatimonadetes bacterium 55-13",NA
55,"Zotu111",1,0,0,3.35e-84,0,43,-0.75,0,"Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","EcFYyy-200",NA
56,"Zotu11115",3,0,0,1.14e-38,1,53,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","Terrimonas lutea"
57,"Zotu1114",3,2,2,5.64e-69,0.333333333,74,1.414213562,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter",NA
58,"Zotu11166",2,0,0,4.05e-32,1,0,-0.277350098,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
59,"Zotu1117",2,2,2,1.62e-96,0,49,1,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA,NA
60,"Zotu1119",2,2,2,1.62e-96,0,59,1,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
61,"Zotu112",1,0,0,9.96e-142,0,304,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
62,"Zotu1132",1,0,0,3.35e-84,0,43,-0.75,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
63,"Zotu1138",1,0,0,3.23e-109,0,98,0,0,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA,NA
64,"Zotu1139",1,0,0,2.94e-80,0,36,-0.894427191,0,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA,NA
65,"Zotu1140",3,6,6,2.35e-64,0.333333333,24,1.224744871,0,"Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
66,"Zotu1143",1,0,0,9.98e-97,0,48,-1,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
67,"Zotu1144",1,0,0,1.31e-57,0,30,-0.935414347,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3",NA,NA
68,"Zotu1149",2,1,1,3.23e-109,0,141,0,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix",NA
69,"Zotu1152",1,0,0,4.72e-66,0,14,-1.322875656,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured subdivision 3 bacterium",NA
70,"Zotu1157",1,0,0,3.35e-84,0,44,-0.75,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonadaceae bacterium LWQ133"
71,"Zotu1158",2,0,0,1.48e-53,1,88,-0.5,0,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured Firmicutes bacterium"
72,"Zotu1159",4,9,9,7.47e-57,0.166666667,30,1.870828693,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
73,"Zotu116",1,0,0,9.96e-142,0,331,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultivated soil bacterium clone C105"
74,"Zotu1161",1,0,0,9.96e-142,0,199,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7","uncultured Burkholderiales bacterium"
75,"Zotu1164",1,0,0,9.96e-142,0,166,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter","uncultured Haliscomenobacter sp."
76,"Zotu1168",1,0,0,3.23e-109,0,106,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505"
77,"Zotu1171",4,38.33333333,67,5.05e-18,0.166666667,5,0.755483102,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
78,"Zotu1172",1,0,0,9.96e-142,0,255,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
79,"Zotu1173",1,0,0,9.96e-142,0,204,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
80,"Zotu1175",2,3,3,2.67e-67,0,37,0,0,"Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured bacterium",NA
81,"Zotu1176",2,0,0,1.76e-65,1,14,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1","uncultured Nitrosomonadales bacterium"
82,"Zotu1177",2,1,1,3.23e-109,0,125,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
83,"Zotu1179",2,10,10,2.57e-75,0,26,0.377964473,0,"Actinobacteria","Acidimicrobiia",NA,NA,NA,NA
84,"Zotu118",1,0,0,9.96e-142,0,252,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Planctomycetales bacterium Ellin7224",NA
85,"Zotu1180",2,1,1,3.23e-109,0,116,0,0,NA,NA,NA,NA,NA,NA
86,"Zotu1184",1,0,0,3.23e-109,0,102,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
87,"Zotu1185",1,0,0,9.96e-142,0,249,0,0,"Armatimonadetes","Chthonomonadetes","Chthonomonadales",NA,NA,NA
88,"Zotu11859",1,0,0,9.4e-87,0,34,-1.414213562,0,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","uncultured","Clostridium sp. SW002"
89,"Zotu1186",1,0,0,3.23e-109,0,100,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
90,"Zotu1187",2,2,2,1.62e-96,0,51,1,0,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","Roseimicrobium gellanilyticum"
91,"Zotu11888",1,0,0,9.96e-142,0,204,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured",NA
92,"Zotu1190",1,0,0,9.96e-142,0,256,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
93,"Zotu1191",1,0,0,9.96e-142,0,323,0,0,"Cyanobacteria","Melainabacteria","Obscuribacterales","Ambiguous_taxa",NA,NA
94,"Zotu1193",1,0,0,9.96e-142,0,272,0,0,"Acidobacteria","Subgroup 17",NA,NA,NA,NA
95,"Zotu1197",2,5,5,3.35e-84,0,20,0.632455532,0,"Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae","uncultured","uncultured proteobacterium"
96,"Zotu11972",1,0,0,3.23e-109,0,115,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
97,"Zotu1198",1,0,0,7.2e-51,0,29,-1.788854382,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA
98,"Zotu1199",2,0,0,1.48e-53,1,88,-0.5,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
99,"Zotu1201",2,1,1,3.23e-109,0,99,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured Epsilonproteobacteria bacterium",NA,NA
100,"Zotu1203",1,0,0,9.96e-142,0,166,0,0,"Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
101,"Zotu1206",3,15,15,4.08e-73,0,17,1.507556723,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
102,"Zotu1208",1,0,0,9.96e-142,0,262,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
103,"Zotu1209",2,7,14,1.18e-63,0,6,0,0,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 12","Clostridium sp. TB14"
104,"Zotu1211",1,0,0,9.96e-142,0,294,0,0,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
105,"Zotu1212",1,0,0,9.96e-142,0,286,0,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
106,"Zotu1214",4,37,118,0.055174437,0.166666667,1,0.282842712,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured bacterium #0319-7E19"
107,"Zotu1222",2,1,1,3.23e-109,0,142,0,0,"Chloroflexi","TK10",NA,NA,NA,NA
108,"Zotu1225",1,0,0,9.96e-142,0,247,0,0,"Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella","agricultural soil bacterium SC-I-15"
109,"Zotu1229",1,0,0,9.96e-142,0,328,0,0,NA,NA,NA,NA,NA,NA
110,"Zotu123",4,21,30,8.05e-38,0.166666667,9,1.436842416,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
111,"Zotu1230",1,0,0,3.23e-109,0,123,0,0,NA,NA,NA,NA,NA,NA
112,"Zotu1233",2,0,0,1.48e-53,1,69,-1,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
113,"Zotu1238",2,1,1,3.23e-109,0,135,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
114,"Zotu1239",1,0,0,9.96e-142,0,157,0,0,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505"
115,"Zotu124",1,0,0,1.06e-27,0,3,-1.104315261,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
116,"Zotu1240",1,0,0,9.96e-142,0,264,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured Caulobacter sp."
117,"Zotu1245",1,0,0,9.96e-142,0,336,0,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
118,"Zotu1249",4,38.66666667,102,1.26e-27,0.5,0,1.664100589,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured Chloroflexi bacterium"
119,"Zotu1250",1,0,0,3.23e-109,0,137,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
120,"Zotu1255",2,1,1,3.23e-109,0,130,0,0,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","uncultured prokaryote"
121,"Zotu1258",1,0,0,9.96e-142,0,226,0,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
122,"Zotu12584",1,0,0,9.96e-142,0,335,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3"
123,"Zotu127",1,0,0,3.54e-36,0,4,-1.111873975,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","JGI 0001001-H03","uncultured bacterium 164"
124,"Zotu1273",2,2,2,1.62e-96,0,61,1,0,"Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","uncultured Conexibacteraceae bacterium"
125,"Zotu1274",2,33,35,6.85e-30,0,0,-0.277350098,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
126,"Zotu1275",1,0,0,2.48e-64,0,16,-1.322875656,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
127,"Zotu12772",4,6,8,1.24e-43,0.333333333,72,1.788854382,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium"
128,"Zotu1278",2,1,1,3.23e-109,0,97,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
129,"Zotu1282",1,0,0,9.96e-142,0,242,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","44889","metagenome",NA,NA
130,"Zotu1285",3,0,0,4.43e-29,1,68,-0.267261242,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
131,"Zotu129",3,4,4,4.7e-67,0.333333333,35,1.58113883,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas",NA
132,"Zotu1291",1,0,0,6.68e-46,0,58,-1.107823419,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured Spartobacteria bacterium"
133,"Zotu1299",1,0,0,1.06e-75,0,26,-1.133893419,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Tellurimicrobium","Ambiguous_taxa"
