Phylum,Accum_degree,Treatment
Acidobacteria,252,Ctrl
Actinobacteria,123,Ctrl
Armatimonadetes,30,Ctrl
Bacteroidetes,221,Ctrl
BRC1,9,Ctrl
Chlamydiae,0,Ctrl
Chloroflexi,91,Ctrl
Cyanobacteria,11,Ctrl
Dependentiae,4,Ctrl
Elusimicrobia,0,Ctrl
FBP,2,Ctrl
Fibrobacteres,0,Ctrl
Firmicutes,147,Ctrl
Gemmatimonadetes,63,Ctrl
Latescibacteria,2,Ctrl
Nitrospirae,3,Ctrl
Patescibacteria,44,Ctrl
Planctomycetes,143,Ctrl
Proteobacteria,509,Ctrl
Rokubacteria,1,Ctrl
Verrucomicrobia,96,Ctrl
NA,13,Ctrl
Acidobacteria,266,Cd
Actinobacteria,98,Cd
Armatimonadetes,25,Cd
Bacteroidetes,277,Cd
BRC1,7,Cd
Chlamydiae,0,Cd
Chloroflexi,79,Cd
Cyanobacteria,5,Cd
Dependentiae,0,Cd
Elusimicrobia,1,Cd
FBP,1,Cd
Fibrobacteres,2,Cd
Firmicutes,46,Cd
Gemmatimonadetes,62,Cd
Latescibacteria,5,Cd
Nitrospirae,4,Cd
Patescibacteria,57,Cd
Planctomycetes,129,Cd
Proteobacteria,432,Cd
Rokubacteria,2,Cd
Verrucomicrobia,125,Cd
NA,15,Cd
Acidobacteria,300,M
Actinobacteria,85,M
Armatimonadetes,22,M
Bacteroidetes,251,M
BRC1,6,M
Chlamydiae,0,M
Chloroflexi,82,M
Cyanobacteria,16,M
Dependentiae,2,M
Elusimicrobia,0,M
FBP,4,M
Fibrobacteres,2,M
Firmicutes,118,M
Gemmatimonadetes,58,M
Latescibacteria,4,M
Nitrospirae,0,M
Patescibacteria,76,M
Planctomycetes,168,M
Proteobacteria,491,M
Rokubacteria,4,M
Verrucomicrobia,129,M
NA,18,M
Acidobacteria,247,M+Cd
Actinobacteria,73,M+Cd
Armatimonadetes,20,M+Cd
Bacteroidetes,207,M+Cd
BRC1,2,M+Cd
Chlamydiae,2,M+Cd
Chloroflexi,68,M+Cd
Cyanobacteria,7,M+Cd
Dependentiae,1,M+Cd
Elusimicrobia,0,M+Cd
FBP,0,M+Cd
Fibrobacteres,2,M+Cd
Firmicutes,135,M+Cd
Gemmatimonadetes,40,M+Cd
Latescibacteria,2,M+Cd
Nitrospirae,2,M+Cd
Patescibacteria,38,M+Cd
Planctomycetes,99,M+Cd
Proteobacteria,451,M+Cd
Rokubacteria,4,M+Cd
Verrucomicrobia,111,M+Cd
NA,17,M+Cd
