"","Phylum","Accum_betw.x","trt.x","Accum_betw.y","trt.y","Accum_betw.x","trt.x","Accum_betw.y","trt.y"
"1","Acidobacteria",5282.133333359,"Ctrl",4396.399999996,"Cd",16.73077776,"M",3441.996621,"M+Cd"
"2","Actinobacteria",1908.166666667,"Ctrl",1040.750000003,"Cd",182.602924474,"M",2975.332855837,"M+Cd"
"3","Armatimonadetes",32.5,"Ctrl",17.333333333,"Cd",NA,NA,NA,NA
"4","Bacteroidetes",2684.066666664,"Ctrl",3363.133333266,"Cd",NA,NA,6579.63488,"M+Cd"
"5","BRC1",56,"Ctrl",0,"Cd",NA,NA,NA,NA
"6","Chlamydiae",2,"Ctrl",2,"Cd",NA,NA,NA,NA
"7","Chloroflexi",3125.666666671,"Ctrl",1731.333333302,"Cd",36.56792654,"M",1679.521229,"M+Cd"
"8","Cyanobacteria",232.5,"Ctrl",24,"Cd",88.299355,"M",4046.2629154,"M+Cd"
"9","Dependentiae",0,"Ctrl",0,"Cd",NA,NA,NA,NA
"10","Elusimicrobia",11,"Ctrl",0,"Cd",NA,NA,NA,NA
"11","Entotheonellaeota",0,"Ctrl",NA,NA,NA,NA,NA,NA
"12","FBP",2,"Ctrl",NA,NA,NA,NA,NA,NA
"13","Firmicutes",2598.566666667,"Ctrl",1007.5,"Cd",148.55611925,"M",8851.0522886,"M+Cd"
"14","Gemmatimonadetes",2904.083333333,"Ctrl",1474.699999963,"Cd",NA,NA,413,"M+Cd"
"15","Latescibacteria",8,"Ctrl",165,"Cd",NA,NA,NA,NA
"16","Nitrospirae",38,"Ctrl",33,"Cd",NA,NA,0,"M+Cd"
"17","Patescibacteria",119.5,"Ctrl",42.5,"Cd",NA,NA,NA,NA
"18","Planctomycetes",2950.983333333,"Ctrl",4429.9666666,"Cd",12.82139753,"M",3734.7254436,"M+Cd"
"19","Proteobacteria",6033.166666633,"Ctrl",4748.333333262,"Cd",634.421499443,"M",32534.37093888,"M+Cd"
"20","Rokubacteria",184,"Ctrl",0,"Cd",NA,NA,954.1755411,"M+Cd"
"21","Verrucomicrobia",547.666666666,"Ctrl",1180.049999969,"Cd",NA,NA,1940.196881,"M+Cd"
"22","WS2",2,"Ctrl",NA,NA,NA,NA,NA,NA
"23",NA,63,"Ctrl",313,"Cd",NA,NA,1448.730405,"M+Cd"
