"","Phylum","Accum_degree.x","trt.x","Accum_degree.y","trt.y","Accum_degree.x","trt.x","Accum_degree.y","trt.y"
"1","Acidobacteria",701,"Ctrl",591,"Cd",21,"M",59,"M+Cd"
"2","Actinobacteria",303,"Ctrl",227,"Cd",254,"M",43,"M+Cd"
"3","Armatimonadetes",36,"Ctrl",39,"Cd",NA,NA,NA,NA
"4","Bacteroidetes",282,"Ctrl",323,"Cd",NA,NA,23,"M+Cd"
"5","BRC1",2,"Ctrl",2,"Cd",NA,NA,NA,NA
"6","Chlamydiae",10,"Ctrl",7,"Cd",NA,NA,NA,NA
"7","Chloroflexi",363,"Ctrl",331,"Cd",45,"M",5,"M+Cd"
"8","Cyanobacteria",36,"Ctrl",21,"Cd",128,"M",24,"M+Cd"
"9","Dependentiae",2,"Ctrl",1,"Cd",NA,NA,NA,NA
"10","Elusimicrobia",9,"Ctrl",2,"Cd",NA,NA,NA,NA
"11","Entotheonellaeota",1,"Ctrl",NA,NA,NA,NA,NA,NA
"12","FBP",4,"Ctrl",NA,NA,NA,NA,NA,NA
"13","Firmicutes",235,"Ctrl",205,"Cd",201,"M",53,"M+Cd"
"14","Gemmatimonadetes",155,"Ctrl",152,"Cd",NA,NA,6,"M+Cd"
"15","Latescibacteria",21,"Ctrl",19,"Cd",NA,NA,NA,NA
"16","Nitrospirae",13,"Ctrl",17,"Cd",NA,NA,1,"M+Cd"
"17","Patescibacteria",81,"Ctrl",23,"Cd",NA,NA,NA,NA
"18","Planctomycetes",374,"Ctrl",362,"Cd",19,"M",27,"M+Cd"
"19","Proteobacteria",796,"Ctrl",714,"Cd",874,"M",198,"M+Cd"
"20","Rokubacteria",9,"Ctrl",8,"Cd",NA,NA,4,"M+Cd"
"21","Verrucomicrobia",189,"Ctrl",183,"Cd",NA,NA,5,"M+Cd"
"22","WS2",2,"Ctrl",NA,NA,NA,NA,NA,NA
"23",NA,70,"Ctrl",73,"Cd",NA,NA,4,"M+Cd"
