"","Phylum","Accum_degree.x","trt.x","Accum_degree.y","trt.y","Accum_degree.x","trt.x","Accum_degree.y","trt.y"
"1","Acidobacteria",252,"Ctrl",266,"Cd",300,"M",247,"M+Cd"
"2","Actinobacteria",123,"Ctrl",98,"Cd",85,"M",73,"M+Cd"
"3","Armatimonadetes",30,"Ctrl",25,"Cd",22,"M",20,"M+Cd"
"4","Bacteroidetes",221,"Ctrl",277,"Cd",251,"M",207,"M+Cd"
"5","BRC1",9,"Ctrl",7,"Cd",6,"M",2,"M+Cd"
"6","Chlamydiae",NA,NA,NA,NA,NA,NA,2,"M+Cd"
"7","Chloroflexi",91,"Ctrl",79,"Cd",82,"M",68,"M+Cd"
"8","Cyanobacteria",11,"Ctrl",5,"Cd",16,"M",7,"M+Cd"
"9","Dependentiae",4,"Ctrl",NA,NA,2,"M",1,"M+Cd"
"10","Elusimicrobia",NA,NA,1,"Cd",NA,NA,NA,NA
"11","FBP",2,"Ctrl",1,"Cd",4,"M",NA,NA
"12","Fibrobacteres",NA,NA,2,"Cd",2,"M",2,"M+Cd"
"13","Firmicutes",147,"Ctrl",46,"Cd",118,"M",135,"M+Cd"
"14","Gemmatimonadetes",63,"Ctrl",62,"Cd",58,"M",40,"M+Cd"
"15","Latescibacteria",2,"Ctrl",5,"Cd",4,"M",2,"M+Cd"
"16","Nitrospirae",3,"Ctrl",4,"Cd",NA,NA,2,"M+Cd"
"17","Patescibacteria",44,"Ctrl",57,"Cd",76,"M",38,"M+Cd"
"18","Planctomycetes",143,"Ctrl",129,"Cd",168,"M",99,"M+Cd"
"19","Proteobacteria",509,"Ctrl",432,"Cd",491,"M",451,"M+Cd"
"20","Rokubacteria",1,"Ctrl",2,"Cd",4,"M",4,"M+Cd"
"21","Verrucomicrobia",96,"Ctrl",125,"Cd",129,"M",111,"M+Cd"
"22",NA,13,"Ctrl",15,"Cd",18,"M",17,"M+Cd"
